name,dept,affiliation
Nivea Jane Urdas,Department of Linguistics,University of the Philippines - Diliman
Jhon Rick Salvedia,Department of Linguistics,University of the Philippines - Diliman
Drew Dolot,Department of Linguistics,University of the Philippines - Diliman
John Meynard Sanchez,Department of Linguistics,University of the Philippines - Diliman
Jay Chester Usero,Department of Linguistics,University of the Philippines - Diliman
Ava Marie Villareal,Department of Linguistics,University of the Philippines - Diliman
Dewi Retnoningsih,Department of Linguistics,University of the Philippines - Diliman
Adrian R. Llamado,Institute of Mathematical Sciences and Physics,University of the Philippines - Los Baños
Jonathan B. Mamplata,Institute of Mathematical Sciences and Physics,University of the Philippines - Los Baños
Emmanuel M. Malaay,,Far Eastern University - Institute of Technology
Michael B. Simora,,Far Eastern University - Institute of Technology
Ronald John O. Cabatic,,Far Eastern University - Institute of Technology
Anthony B. Castillo,,Far Eastern University - Institute of Technology
Ayman P. Cabotaje,,Far Eastern University - Institute of Technology
Rozano S. Maniaol,Institute of Computer Science,University of the Philippines - Los Baños
Danilo J. Mercado,Institute of Computer Science,University of the Philippines - Los Baños
Nilo T. Dela Cruz II,Institute of Mathematical Sciences and Physics,University of the Philippines - Los Baños
Gimelle B. Gamilla,Institute of Mathematical Sciences and Physics,University of the Philippines - Los Baños
Allen L. Nazareno,Institute of Mathematical Sciences and Physics,University of the Philippines - Los Baños
Rodolfo Raga Jr,,Jose Rizal University
Michael Angeles,Institute of Computer Science,University of the Philippines - Los Baños
Nathaniel Laxina,Institute of Computer Science,University of the Philippines - Los Baños
Rizza Mercado,Institute of Computer Science,University of the Philippines - Los Baños
Diane Manzano,,University of the Philippines - Los Baños
Samantha Jade Sadural,,University of the Philippines - Los Baños
Jeffrey A. Aborot,Department of Computer Science,University of the Philippines - Diliman
Jane D. Palacio,Institute of Mathematical Sciences and Physics,University of the Philippines - Los Baños
Pierre Allan K. Santiago,Institute of Mathematical Sciences and Physics,University of the Philippines - Los Baños
John Paul V. Guim,Institute of Mathematical Sciences and Physics,University of the Philippines - Los Baños
Gabriel Dominik E. Sison,National Institute of Physics,University of the Philippines - Diliman
Ulyses A. Solon Jr,Institute of Mathematics,University of the Philippines - Diliman
Aimee B. Rarugal,National Institute of Physics,University of the Philippines - Diliman
Guido David,Institute of Mathematics,University of the Philippines - Diliman
Giovanni A. Tapang,National Institute of Physics,University of the Philippines - Diliman
Rommel P. Feria,,University of the Philippines - Diliman
Ariel S. Betan,,University of the Philippines - Diliman
Annette G. Lagman,,University of the Philippines - Diliman
Rowena C. Solamo,,University of the Philippines - Diliman
Paulo Noel G. Paje,,University of the Philippines - Diliman
Kelvin C. Buño,Department of Computer Science,University of the Philippines - Diliman
Marjo-Anne B. Acob,Institute of Mathematical Sciences and Physics,University of the Philippines - Los Baños
Jean O. Loyola,Institute of Mathematical Sciences and Physics,University of the Philippines - Los Baños
Sherlyne L. Francia,Department of Computer Science,University of the Philippines - Diliman
Denise Alyssa A. Francisco,Department of Computer Science,University of the Philippines - Diliman
Richelle Ann B. Juayon,Department of Computer Science,University of the Philippines - Diliman
Gabriel Alberto A. Sanchez,,Ateneo de Manila University
Jennifer D. Raga,Institute of Mathematical Sciences and Physics,University of the Philippines - Los Baños
Jasmine Irene Ng,Software Technology Department,De La Salle University
Harriet Angelie A. Gonzales,Department of Computer Science,University of the Philippines - Cebu
Kurt Junshean P. Espinosa,Department of Computer Science,University of the Philippines - Cebu
Oliver Isaac L. Chan,Software Technology Department,De La Salle University
Patrick Joseph M. Sadornas,Software Technology Department,De La Salle University
Lemuel John Beduya,Department of Computer Science,University of the Philippines - Cebu
Rancelli Jane Roxas,Software Technology Department,De La Salle University
Dollen Lour Huang,Software Technology Department,De La Salle University
Bruce Elmer Peralta,Software Technology Department,De La Salle University
Sahnir Yap,Software Technology Department,De La Salle University
Anne Grace H. Peralta,,University of the Philippines - Diliman
Layton Jan M. Tee,,University of the Philippines - Diliman
Tod Allman,,Graduate Institute of Applied Linguistics
Stephen Beale,,University of Maryland
Richard Denton,,Dartmouth College
Zechariah B. Jimenez,Department of Computer Science,University of the Philippines - Diliman
