name,dept,affiliation
Victoria May Paguio Mendoza,Department of Computer Science,University of the Philippines - Diliman
Renier G. Mendoza,Department of Computer Science,University of the Philippines - Diliman
Jayrah Bena E. Riñon,Department of Computer Science,University of the Philippines - Diliman
Thelma Palaoag,CITCS Department,University of the Cordilleras
Christian dela Cruz,IT Department,AMA Computer College
Neil Patrick Del Gallego,Software Technology Department,De La Salle University
Arvin Christopher Reyes,Software Technology Department,De La Salle University
Jheanel E. Estrada,College of Information Technology Education,Technological Institute of the Philippines - Manila
Vileser T. Naculangga,College of Information Technology Education,Technological Institute of the Philippines - Manila
John Eddie D. Macias,College of Information Technology Education,Technological Institute of the Philippines - Manila
Francis Percival M. Caparas,College of Information Technology Education,Technological Institute of the Philippines - Manila
Erika Ritzelle P. Bondoc,College of Information Technology Education,Technological Institute of the Philippines - Manila
John Paul C. Vergara,Department of Information Systems and Computer Science,Ateneo de Manila University
Alyssa Nicole N. Ty,Department of Information Systems and Computer Science,Ateneo de Manila University
Carlo D. Mendoza,Department of Information Systems and Computer Science,Ateneo de Manila University
Gabriel K. De Jesus,Department of Information Systems and Computer Science,Ateneo de Manila University
Katrina B. Calpito,Institute of Information and Computing Sciences,University of Santo Tomas
David Jonathan L. Relacion,Institute of Information and Computing Sciences,University of Santo Tomas
Juan Miguel C. Roman,Institute of Information and Computing Sciences,University of Santo Tomas
Trisha Regine P. Wang,Institute of Information and Computing Sciences,University of Santo Tomas
Cecil Jose A. Delfinado,Institute of Information and Computing Sciences,University of Santo Tomas
Victor Romero II,Division of Natural Sciences and Mathematics,University of the Philippines - Visayas Tacloban College
Albuen Jan Rosello,Division of Natural Sciences and Mathematics,University of the Philippines - Visayas Tacloban College
Gener Angelo Lopez,Department of Information Systems and Computer Science,Ateneo de Manila University
Jayce Caylah Ching,Department of Information Systems and Computer Science,Ateneo de Manila University
Patricia Nicole Uy,Department of Information Systems and Computer Science,Ateneo de Manila University
Justin San Pedro,Department of Information Systems and Computer Science,Ateneo de Manila University
Jose Mirabueno,Department of Information Systems and Computer Science,Ateneo de Manila University
Christian Chan,Department of Information Systems and Computer Science,Ateneo de Manila University
Raymund C. Sison,Software Technology Department,De La Salle University
Neila Paglinawan,Department of Computer Science,University of the Philippines - Diliman
Mygel Andrei Martija,Department of Computer Science,University of the Philippines - Diliman
John Paul S. Guzman,Software Technology Department,De La Salle University
Teresita C. Limoanco,Software Technology Department,De La Salle University
Christian Dione Bergantin,School of Information Technology,Mapua University
Camille Bencito,School of Information Technology,Mapua University
Christian Paul Mirano,School of Information Technology,Mapua University
Larry Vea,School of Information Technology,Mapua University
Ruahden F. Dang-awan,Department of Computer Science,University of the Philippines - Diliman
Jansen Keith Domoguen,Department of Computer Science,University of the Philippines - Diliman
Ruji P. Medina,Graduate Studies Program,Technological Institute of the Philippines
Tony Y. T. Chan,Graduate Studies Program,Technological Institute of the Philippines
Edgar Bryan B. Nicart,Graduate Studies Program,Technological Institute of the Philippines
Jerik G. Beltran,Department of Computer Science and Technology,Visayas State University
Winston M. Tabada,Department of Computer Science and Technology,Visayas State University
Kristine Mae M. Adlaon,Information Technology Education,University of the Immaculate Conception
Judith J. Azcarraga,Software Technology Department,De La Salle University
Remedios de Dios Bulos,Software Technology Department,De La Salle University
Christine Lourrine S. Tablatin,Department of Information Systems and Computer Science,Ateneo de Manila University
Joanna Pauline Rivera,Software Technology Department,De La Salle University
Clement Y. Ong,Computer Technology Department,De La Salle University
Richard Bryann L. Chua,Department of Physical Sciences and Mathematics,University of the Philippines - Manila
Berwin Jarret T. Yu,Department of Physical Sciences and Mathematics,University of the Philippines - Manila
Irene Therese Bermejo,Department of Information Systems and Computer Science,Ateneo de Manila University
Jan Nicole Domingo,Department of Information Systems and Computer Science,Ateneo de Manila University
Dion Alfonso Velasco,Department of Information Systems and Computer Science,Ateneo de Manila University
John Cliford Rosales,Department of Information Systems and Computer Science,Ateneo de Manila University
Ma. Regina Estuar,Department of Information Systems and Computer Science,Ateneo de Manila University
Kennedy E. Espina,Department of Information Systems and Computer Science,Ateneo de Manila University
Nikko G. Cabang,,New Era University
Albert A. Vinluan,,New Era University
Jedidiah B. Constantino,,New Era University
Marc Angelo P. Martinez,,New Era University
John Carlo A. Ariola,,Ateneo de Naga University
Jaymee A. Olaño,,Ateneo de Naga University
Mark Arthur A. Caro III,,Ateneo de Naga University
John Sixto G. Santos,,Ateneo de Naga University
Jennifer C. Ureta,Software Technology Department,De La Salle University
Patricia Anne Eugenio,Computer Technology Department,De La Salle University
Gregory Cu,Computer Technology Department,De La Salle University
Fritz Kevin Flores,Computer Technology Department,De La Salle University
Marco C. Lucena,Department of Information Systems and Computer Science,Ateneo de Manila University
Ren Tristan dela Cruz,Department of Computer Science,University of the Philippines - Diliman
Dionne Peter P. Cailipan,Department of Computer Science,University of the Philippines - Diliman
Jym Paul A. Carandang,Department of Computer Science,University of the Philippines - Diliman
Francis George C. Cabarle,Department of Computer Science,University of the Philippines - Diliman
Kelvin C. Buño,Department of Computer Science,University of the Philippines - Diliman
Nestine Hope S. Hernandez,Department of Computer Science,University of the Philippines - Diliman
John Ultra,,University of the Philippines - Visayas Tacloban College
Shenamae Borja,,"Advanced World Solutions, Inc."
Laurenz Adriel Tolentino,Software Technology Department,De La Salle University
Allan Borra,Software Technology Department,De La Salle University
Marrick C. Neri,Institute of Mathematics,University of the Philippines - Diliman
Maryene B. Sy Piecco,Division of Physical Sciences and Mathematics,University of the Philippines - Visayas
Mary Grace Malana,Software Technology Department,De La Salle University
Roger Luis Uy,Computer Technology Department,De La Salle University
Amiel John B. Atienza,,New Era University
Art Maco T. Del Rosario,,New Era University
John Carlo R. Gonzales,,New Era University
Carlo Marco S. Ortiz,,New Era University
Macliing Gabriel Q. Aydinan,Department of Computer Science,University of the Philippines - Diliman
Prospero C. Naval Jr.,Department of Computer Science,University of the Philippines - Diliman
John Eric Z. Sy,Department of Computer Science,University of the Philippines - Diliman
Nikko T. Borja,Software Technology Department,De La Salle University
Ken V. Hosoya,Software Technology Department,De La Salle University
Jared Luke C. Pangilinan,Software Technology Department,De La Salle University
Mervin Stewart C. Uy,Software Technology Department,De La Salle University
Rafael A. Cabredo,Software Technology Department,De La Salle University
Byran G. Dadiz,College of Information Technology Education,Technological Institute of the Philippines - Manila
Kardi Teknomo,Department of Information Systems and Computer Science,Ateneo de Manila University
Alquine Roy F. Taculin,,MSU - Iligan Institute of Technology
Baldip Bhuller,Software Technology Department,De La Salle University
Fritz Kevin Flores,Software Technology Department,De La Salle University
Joshua Manto,Software Technology Department,De La Salle University
Arvin Medina,Software Technology Department,De La Salle University
Naomi Mendaros,Software Technology Department,De La Salle University
Jedidiah Caychingco,Software Technology Department,De La Salle University
Gregory Cu,Software Technology Department,De La Salle University
C.D.S. Ergina,Division of Natural Sciences and Mathematics,University of the Philippines - Visayas Tacloban College
V.M.II Romero,Division of Natural Sciences and Mathematics,University of the Philippines - Visayas Tacloban College
Samantha G. Mallari,,Asia Pacific College
Faith I. Ballesteros,,Asia Pacific College
Eva R. Samillano,,Asia Pacific College
Paulo Miguel S. Capuz,,Asia Pacific College
Lorena R. Rabago,,Asia Pacific College
Ernesto C. Boydon,,Asia Pacific College
Jesus Vicente Roig,,Asia Pacific College
Danen Clint Ocfemi,,University of the Philippines - Visayas Tacloban College
John D. Ultra,,University of the Philippines - Visayas Tacloban College
Vanlalhruaii Swansi,Center for Human Centric Innovations,De La Salle University
Charl Amaba,Department of Computer and Information Sciences,University of San Carlos
Darren Josef M. Kho,Department of Computer and Information Sciences,University of San Carlos
Angie M. Ceniza,Department of Computer and Information Sciences,University of San Carlos
Mark Isaiah Quevedo,Department of Computer and Information Sciences,University of San Carlos
Heinrich Von P. Woogue,Department of Computer and Information Sciences,University of San Carlos
Kim Christian T. Cubillan,Department of Computer and Information Sciences,University of San Carlos
Mary Jane G. Sabellano,Department of Computer and Information Sciences,University of San Carlos
Jose Emmanuel D. Torrijos,Department of Information Systems and Computer Science,Ateneo de Manila University
Adrian Cordero,Department of Information Systems and Computer Science,Ateneo de Manila University
Enrico Sison,Department of Information Systems and Computer Science,Ateneo de Manila University
Maria Regina Justina Estuar,Department of Information Systems and Computer Science,Ateneo de Manila University
Justin David Pineda,,Asia Pacific College
Joanna De Guzman,,Asia Pacific College
Adrian Tobias,,Asia Pacific College
Ruy Josel Verano,,Asia Pacific College
Jan Michael Bernardo,,Asia Pacific College
Camille C. Diez,Department of Information Systems and Computer Science,Ateneo de Manila University
Enrico M. Tria,Department of Information Systems and Computer Science,Ateneo de Manila University
Andrew Laron,Software Technology Department,De La Salle University
Daniel Stanley Tan,Software Technology Department,De La Salle University
Nathalie Rose Lim-Cheng,Software Technology Department,De La Salle University
Angelyn Lao,Mathematics and Statistics Department,De La Salle University
Jose Enrico Tiongson,Department of Information Systems and Computer Science,Ateneo de Manila University
Joshua Zambales,Department of Information Systems and Computer Science,Ateneo de Manila University
Patricia Angela Abu,Department of Information Systems and Computer Science,Ateneo de Manila University
Joshua C. Martinez,Department of Information Systems and Computer Science,Ateneo de Manila University
May Marie P. Talandron,Department of Information Systems and Computer Science,Ateneo de Manila University
Jun Rangie C. Obispo,Department of Information Systems and Computer Science,Ateneo de Manila University
Ray Carlo Añonuevo,Information Technology Department,De La Salle University
Dea Ferrer,Information Technology Department,De La Salle University
Fernito Llanita,Information Technology Department,De La Salle University
Miguel Mercado,Information Technology Department,De La Salle University
Danny C. Cheng,Information Technology Department,De La Salle University
Lee Javellana,Department of Math and Computer Science,University of the Philippines - Baguio
Joel M. Addawe,Department of Math and Computer Science,University of the Philippines - Baguio
Karl Joseph Centillo,Center for Human Computing Innovations,De La Salle University
John Raymound Lemuel Javier,Center for Human Computing Innovations,De La Salle University
Catherine Mae Peña,Center for Human Computing Innovations,De La Salle University
Jian Michael Wu,Center for Human Computing Innovations,De La Salle University
Jocelynn Cu,Center for Human Computing Innovations,De La Salle University
Z. E. L. Arcega,Department of Information Systems and Computer Science,Ateneo de Manila University
M. T. Malit,Department of Information Systems and Computer Science,Ateneo de Manila University
J. L. Agapito,Department of Information Systems and Computer Science,Ateneo de Manila University
Vincent Paul L. Carpio,Institute of Computer Science,University of the Philippines - Los Baños
Katrina Joy M. Abriol-Santos,Institute of Computer Science,University of the Philippines - Los Baños
Joseph Anthony C. Hermocilla,Institute of Computer Science,University of the Philippines - Los Baños
Pierangela C. Gabriel,,Opentext Philippines
Jonathan Yiu,Software Technology Department,De La Salle University
Christoffer F. Kho,Department of Information Systems and Computer Science,Ateneo de Manila University
Gian T. Salay,Department of Information Systems and Computer Science,Ateneo de Manila University
Charibeth Cheng,Software Technology Department,De La Salle University
Maristella Aquino,Software Technology Department,De La Salle University
Ervin Fernandez,Software Technology Department,De La Salle University
Kevin Villanueva,Software Technology Department,De La Salle University
Ivy Ordanel,Department of Computer Science,University of the Philippines - Diliman
Angelica H. Dela Cruz,,National University
Maria Cristina P. Co,,National University
Adrian Martin S. Sy,,National University
Nathaniel Oco,,National University
Rachel Edita Roxas,,National University
Jhoirene B. Clemente,Department of Computer Science,University of the Philippines - Diliman
Louie Lester E. Pascual,Department of Computer Science,Ateneo de Naga University
John Dinnex M. Valeros,Department of Computer Science,Ateneo de Naga University
Al Jamil L. Arazas,Department of Computer Science,Ateneo de Naga University
Allan A. Sioson,Department of Computer Science,Ateneo de Naga University
Briane Paul V. Samson,Center for Complexity and Emerging Technologies,De La Salle University
Cymon Nicollo P. Marcaida,Center for Complexity and Emerging Technologies,De La Salle University
Eloisa Anne B. Gervasio,Center for Complexity and Emerging Technologies,De La Salle University
Ravi D. Militar,Center for Complexity and Emerging Technologies,De La Salle University
Jerome Ibañez,Center for Complexity and Emerging Technologies,De La Salle University
R.W. Gardon,,Asia Pacific College
April Gale V. Guevara,Department of Information Systems and Computer Science,Ateneo de Manila University
Miguel Adrian C. Domingo,Department of Information Systems and Computer Science,Ateneo de Manila University
Marvin Joseph R. Occeño,Department of Physical Sciences and Mathematics,University of the Philippines - Manila
Jan Renard L. Calalang,Department of Information Systems and Computer Science,Ateneo de Manila University
Kevin C. Henson,Department of Information Systems and Computer Science,Ateneo de Manila University
Benjamin Ryan B. Mendoza,Department of Information Systems and Computer Science,Ateneo de Manila University
Joseph J. Bautista,Department of Information Systems and Computer Science,Ateneo de Manila University
Javier Teodoro Flavier,Department of Information Systems and Computer Science,Ateneo de Manila University
Eliezer A. Albacea,Institute of Computer Science,University of the Philippines - Los Baños
Maricor N. Soriano,National Institute of Physics,University of the Philippines - Diliman
Val Randolf M. Madrid,Institute of Computer Science,University of the Philippines - Los Baños
Nicole Marie T. Del Rosario,Institute of Mathematics,University of the Philippines - Diliman
Jacob Chan,Department of Information Systems and Computer Science,Ateneo de Manila University
Paolo Gonzalez,Department of Information Systems and Computer Science,Ateneo de Manila University
Ella Mara Melanie Perez,Department of Information Systems and Computer Science,Ateneo de Manila University
Glen Charles Lopez,Department of Information Systems and Computer Science,Ateneo de Manila University
Jun Rangie Obispo,Department of Information Systems and Computer Science,Ateneo de Manila University
Mark Joseph Ronquillo,Department of Information Systems and Computer Science,Ateneo de Manila University
Jerald Aldin A. Dagaang,,Convergys Corporation
Christelle R. Villezas,,"Advanced World Solutions, Inc."
Prinz Nikko C. Palahang,,WebForest IT Consultancy
Lemuel Clark P. Velasco,,MSU – Iligan Institute of Technology
Isabel M. Constantino,Department of Information Systems and Computer Science,Ateneo de Manila University
Pia Melissa M. Encarnacion,Department of Information Systems and Computer Science,Ateneo de Manila University
Chiara Veronica D. Señires,Department of Information Systems and Computer Science,Ateneo de Manila University
Emmanuel Asuncion Jr.,Software Technology Department,De La Salle University
Aaron Jan Baldomar,Software Technology Department,De La Salle University
William James Custodio,Software Technology Department,De La Salle University
Yun Sup Lee,Software Technology Department,De La Salle University
Kyle Stephen S. See,Department of Information Systems and Computer Science,Ateneo de Manila University
