afid,authid,authname,author-url,dc:identifier,given-name,initials,surname
60071457,57213191834,Caparros M.,https://api.elsevier.com/content/author/author_id/57213191834,SCOPUS_ID:85077673412,Marie Rianne M.,M.R.M.,Caparros
60071457,57213185542,Caceres P.,https://api.elsevier.com/content/author/author_id/57213185542,SCOPUS_ID:85077673412,Philip,P.,Caceres
60071457,57190390834,Diy W.,https://api.elsevier.com/content/author/author_id/57190390834,SCOPUS_ID:85077673412,Walfrido David,W.D.,Diy
60071457,57213190209,Sarcilla L.,https://api.elsevier.com/content/author/author_id/57213190209,SCOPUS_ID:85077673412,Lean Rimes,L.R.,Sarcilla
60071457,57213198719,Amante F.,https://api.elsevier.com/content/author/author_id/57213198719,SCOPUS_ID:85077673412,Francesco,F.,Amante
60071457,7101831103,Rodrigo M.,https://api.elsevier.com/content/author/author_id/7101831103,SCOPUS_ID:85077673412,Ma Mercedes T.,M.M.T.,Rodrigo
123712729,57213190578,Herras I.,https://api.elsevier.com/content/author/author_id/57213190578,SCOPUS_ID:85077702493,Ingrid Yvonne,I.Y.,Herras
123712729,57213195519,Abanes D.,https://api.elsevier.com/content/author/author_id/57213195519,SCOPUS_ID:85077702493,Don Romielito N.,D.R.N.,Abanes
123712729,57213193497,Del Rosario N.,https://api.elsevier.com/content/author/author_id/57213193497,SCOPUS_ID:85077702493,Nico B.,N.B.,Del Rosario
123712729,57192978226,Casano J.,https://api.elsevier.com/content/author/author_id/57192978226,SCOPUS_ID:85077702493,Jonathan D.L.,J.D.L.,Casano
60122542,57195412401,Ebardo R.,https://api.elsevier.com/content/author/author_id/57195412401,SCOPUS_ID:85077698506,Ryan,R.,Ebardo
60071439,57204127989,Limpin L.,https://api.elsevier.com/content/author/author_id/57204127989,SCOPUS_ID:85077698506,Laiza,L.,Limpin
60071457,57213194035,Talandron-Felipe M.,https://api.elsevier.com/content/author/author_id/57213194035,SCOPUS_ID:85077693195,May Marie P.,M.M.P.,Talandron-Felipe
60071462,7101831103,Rodrigo M.,https://api.elsevier.com/content/author/author_id/7101831103,SCOPUS_ID:85077693195,Ma Mercedes T.,M.M.T.,Rodrigo
"60071457,60071457",57213190191,Moreno M.,https://api.elsevier.com/content/author/author_id/57213190191,SCOPUS_ID:85077691083,Monica,M.,Moreno
60071457,57210147274,Manahan D.,https://api.elsevier.com/content/author/author_id/57210147274,SCOPUS_ID:85077691083,Dominique Marie Antoinette,D.M.A.,Manahan
60071457,57213189277,Fernandez M.,https://api.elsevier.com/content/author/author_id/57213189277,SCOPUS_ID:85077691083,Marika Gianina,M.G.,Fernandez
60071457,57213189846,Beraquit J.,https://api.elsevier.com/content/author/author_id/57213189846,SCOPUS_ID:85077691083,Jose Isidro,J.I.,Beraquit
60071457,57213196474,Bugayong N.,https://api.elsevier.com/content/author/author_id/57213196474,SCOPUS_ID:85077691083,Nicole,N.,Bugayong
60071457,7101831103,Rodrigo M.,https://api.elsevier.com/content/author/author_id/7101831103,SCOPUS_ID:85077691083,Ma Mercedes T.,M.M.T.,Rodrigo
"60071457,123346235",57195671716,Tablatin C.,https://api.elsevier.com/content/author/author_id/57195671716,SCOPUS_ID:85077689993,Christine Lourrine,C.L.,Tablatin
60071457,57213194963,Garcia E.,https://api.elsevier.com/content/author/author_id/57213194963,SCOPUS_ID:85077683021,Errol Matthew C.,E.M.C.,Garcia
60071457,57203116377,Aberin M.,https://api.elsevier.com/content/author/author_id/57203116377,SCOPUS_ID:85077683021,Maria Alva Q.,M.A.Q.,Aberin
"60122542,60105392",57205441506,Celestial-Valderama A.,https://api.elsevier.com/content/author/author_id/57205441506,SCOPUS_ID:85077680030,Arlene Mae,A.M.,Celestial-Valderama
"60071464,60071429",57204124212,Trapero H.,https://api.elsevier.com/content/author/author_id/57204124212,SCOPUS_ID:85077675706,Hazel A.,H.A.,Trapero
60071464,57213189622,Leaño C.,https://api.elsevier.com/content/author/author_id/57213189622,SCOPUS_ID:85077675706,Cecilia B.,C.B.,Leaño
60071464,57213199141,Caguiat M.,https://api.elsevier.com/content/author/author_id/57213199141,SCOPUS_ID:85077675706,Ma Rowena,M.R.,Caguiat
60071457,57213227923,Buenviaje W.,https://api.elsevier.com/content/author/author_id/57213227923,SCOPUS_ID:85077728109,Winna Mia Victoria D.,W.M.V.D.,Buenviaje
60071457,57213231558,Dela Cruz M.,https://api.elsevier.com/content/author/author_id/57213231558,SCOPUS_ID:85077728109,Ma Anniela B.,M.A.B.,Dela Cruz
60071457,57213228158,Fadriquela I.,https://api.elsevier.com/content/author/author_id/57213228158,SCOPUS_ID:85077728109,Ingrid Marie Therese P.,I.M.T.P.,Fadriquela
60071457,57213194035,Talandron-Felipe M.,https://api.elsevier.com/content/author/author_id/57213194035,SCOPUS_ID:85077710844,May Marie P.,M.M.P.,Talandron-Felipe
60071457,57213195632,Tan D.,https://api.elsevier.com/content/author/author_id/57213195632,SCOPUS_ID:85077691162,Divine kia T.,D.k.T.,Tan
60071457,57213189591,Roy R.,https://api.elsevier.com/content/author/author_id/57213189591,SCOPUS_ID:85077691162,Rodrigo Emmanuel,R.E.,Roy
60071457,57213194404,Lasala J.,https://api.elsevier.com/content/author/author_id/57213194404,SCOPUS_ID:85077691162,Jose Rafael,J.R.,Lasala
60071457,57213190270,Yap A.,https://api.elsevier.com/content/author/author_id/57213190270,SCOPUS_ID:85077691162,Anton Gabriel,A.G.,Yap
60071457,7101831103,Rodrigo M.,https://api.elsevier.com/content/author/author_id/7101831103,SCOPUS_ID:85077691162,Ma Mercedes T.,M.M.T.,Rodrigo
60071457,57190390834,Diy W.,https://api.elsevier.com/content/author/author_id/57190390834,SCOPUS_ID:85077691162,Walfrido David,W.D.,Diy
60071457,12760553200,Hechanova M.,https://api.elsevier.com/content/author/author_id/12760553200,SCOPUS_ID:85077691162,Ma Regina M.,M.R.M.,Hechanova
60071462,57213194035,Talandron-Felipe M.,https://api.elsevier.com/content/author/author_id/57213194035,SCOPUS_ID:85077688173,May Marie P.,M.M.P.,Talandron-Felipe
60071462,57213199461,Bonifacio K.,https://api.elsevier.com/content/author/author_id/57213199461,SCOPUS_ID:85077688173,Kent Levi A.,K.L.A.,Bonifacio
60071457,36650486400,Bringula R.,https://api.elsevier.com/content/author/author_id/36650486400,SCOPUS_ID:85077681251,Rex,R.,Bringula
60071457,7101831103,Rodrigo M.,https://api.elsevier.com/content/author/author_id/7101831103,SCOPUS_ID:85077681251,Ma Mercedes,M.M.,Rodrigo
60071457,7101831103,Rodrigo M.,https://api.elsevier.com/content/author/author_id/7101831103,SCOPUS_ID:85077681116,Ma Mercedes T.,M.M.T.,Rodrigo
60071457,36439015900,Agapito J.,https://api.elsevier.com/content/author/author_id/36439015900,SCOPUS_ID:85077681116,Jenilyn L.,J.L.,Agapito
60071457,57210147274,Manahan D.,https://api.elsevier.com/content/author/author_id/57210147274,SCOPUS_ID:85077681116,Dominique Marie Antoinette B.,D.M.A.B.,Manahan
60071457,36439015900,Agapito J.,https://api.elsevier.com/content/author/author_id/36439015900,SCOPUS_ID:85077675766,Jenilyn,J.,Agapito
60071455,56534256300,Banawan M.,https://api.elsevier.com/content/author/author_id/56534256300,SCOPUS_ID:85077706530,Michelle P.,M.P.,Banawan
60071455,57201980830,Lumapas R.,https://api.elsevier.com/content/author/author_id/57201980830,SCOPUS_ID:85077706530,Raul Vincent W.,R.V.W.,Lumapas
60006297,55255149400,Ocumpaugh J.,https://api.elsevier.com/content/author/author_id/55255149400,SCOPUS_ID:85077706530,Jaclyn L.,J.L.,Ocumpaugh
60071457,7101831103,Rodrigo M.,https://api.elsevier.com/content/author/author_id/7101831103,SCOPUS_ID:85077706530,Ma Mercedes T.,M.M.T.,Rodrigo
60071464,57193812309,Alipio M.,https://api.elsevier.com/content/author/author_id/57193812309,SCOPUS_ID:85070610410,Melchizedek,M.,Alipio
60071491,36466956600,Tiglao N.,https://api.elsevier.com/content/author/author_id/36466956600,SCOPUS_ID:85070610410,Nestor Michael,N.M.,Tiglao
60053707,34881476000,Bokhari F.,https://api.elsevier.com/content/author/author_id/34881476000,SCOPUS_ID:85070610410,F.,F.,Bokhari
122985168,57197349115,Khalid S.,https://api.elsevier.com/content/author/author_id/57197349115,SCOPUS_ID:85070610410,Salman,S.,Khalid
116986850,57211993491,Malabanan E.,https://api.elsevier.com/content/author/author_id/57211993491,SCOPUS_ID:85075591076,Elizabeth,E.,Malabanan
116986850,57211987227,Bayeng A.,https://api.elsevier.com/content/author/author_id/57211987227,SCOPUS_ID:85075591076,Arlyn,A.,Bayeng
60071464,57213819039,Dajay R.,https://api.elsevier.com/content/author/author_id/57213819039,SCOPUS_ID:85077986267,Ryan Christoper R.,R.C.R.,Dajay
60071464,57207916265,Española J.,https://api.elsevier.com/content/author/author_id/57207916265,SCOPUS_ID:85077986267,Jason L.,J.L.,Española
60071464,55599317400,Bandala A.,https://api.elsevier.com/content/author/author_id/55599317400,SCOPUS_ID:85077986267,Argel A.,A.A.,Bandala
60071464,57189096030,Bedruz R.,https://api.elsevier.com/content/author/author_id/57189096030,SCOPUS_ID:85077986267,Rhen Anjerome R.,R.A.R.,Bedruz
60071464,55319953900,Vicerra R.,https://api.elsevier.com/content/author/author_id/55319953900,SCOPUS_ID:85077986267,Ryan Rhay P.,R.R.P.,Vicerra
60071464,57213828323,Dadios E.,https://api.elsevier.com/content/author/author_id/57213828323,SCOPUS_ID:85077986267,Elmer P.,E.P.,Dadios
60071464,57189096030,Bedruz R.,https://api.elsevier.com/content/author/author_id/57189096030,SCOPUS_ID:85078045442,Rhen Anjerome R.,R.A.R.,Bedruz
60071464,57207911068,Martin Maningo J.,https://api.elsevier.com/content/author/author_id/57207911068,SCOPUS_ID:85078045442,Jose,J.,Martin Maningo
60071464,57189094093,Fernando A.,https://api.elsevier.com/content/author/author_id/57189094093,SCOPUS_ID:85078045442,Arvin H.,A.H.,Fernando
60071464,55599317400,Bandala A.,https://api.elsevier.com/content/author/author_id/55599317400,SCOPUS_ID:85078045442,Argel A.,A.A.,Bandala
60071464,55319953900,Vicerra R.,https://api.elsevier.com/content/author/author_id/55319953900,SCOPUS_ID:85078045442,Ryan Rhay P.,R.R.P.,Vicerra
