afid,authid,authname,author-url,dc:identifier,given-name,initials,surname
123481312,57212105411,Plata I.,https://api.elsevier.com/content/author/author_id/57212105411,SCOPUS_ID:85077615991,Irma T.,I.T.,Plata
123481312,57212102749,Bartolome B.,https://api.elsevier.com/content/author/author_id/57212102749,SCOPUS_ID:85077615991,Bryan B.,B.B.,Bartolome
60105070,57212308862,Alon A.,https://api.elsevier.com/content/author/author_id/57212308862,SCOPUS_ID:85077578937,Alvin S.,A.S.,Alon
60105070,57213149830,Marasigan R.,https://api.elsevier.com/content/author/author_id/57213149830,SCOPUS_ID:85077578937,Rufo S.,R.S.,Marasigan
60105070,57213145455,Nicolas-Mindoro J.,https://api.elsevier.com/content/author/author_id/57213145455,SCOPUS_ID:85077578937,Jennalyn G.,J.G.,Nicolas-Mindoro
60105070,57213164125,Casuat C.,https://api.elsevier.com/content/author/author_id/57213164125,SCOPUS_ID:85077578937,Cherry D.,C.D.,Casuat
123481312,57201298762,Panganiban E.,https://api.elsevier.com/content/author/author_id/57201298762,SCOPUS_ID:85077575265,Edward B.,E.B.,Panganiban
123481312,57212105411,Plata I.,https://api.elsevier.com/content/author/author_id/57212105411,SCOPUS_ID:85077575265,Irma T.,I.T.,Plata
123481312,57212102749,Bartolome B.,https://api.elsevier.com/content/author/author_id/57212102749,SCOPUS_ID:85077575265,Bryan B.,B.B.,Bartolome
123481312,57212141915,Taracatac A.,https://api.elsevier.com/content/author/author_id/57212141915,SCOPUS_ID:85077575265,Allan C.,A.C.,Taracatac
123481312,57210596791,Labuanan F.,https://api.elsevier.com/content/author/author_id/57210596791,SCOPUS_ID:85077575265,Freddie Rick E.,F.R.E.,Labuanan
60105070,57213145455,Nicolas-Mindoro J.,https://api.elsevier.com/content/author/author_id/57213145455,SCOPUS_ID:85077521442,Jennalyn G.,J.G.,Nicolas-Mindoro
60105070,57203515993,Malbog M.,https://api.elsevier.com/content/author/author_id/57203515993,SCOPUS_ID:85077521442,Mon Arjay F.,M.A.F.,Malbog
60105070,57213164574,Gulmatico J.,https://api.elsevier.com/content/author/author_id/57213164574,SCOPUS_ID:85077521442,Joshua S.,J.S.,Gulmatico
60105070,57210605425,Enriquez J.,https://api.elsevier.com/content/author/author_id/57210605425,SCOPUS_ID:85077521442,Jennifer B.,J.B.,Enriquez
60071464,57212510766,Chua K.,https://api.elsevier.com/content/author/author_id/57212510766,SCOPUS_ID:85076890449,Kyle Matthew Chan,K.M.C.,Chua
60071464,57212512274,Villamayor J.,https://api.elsevier.com/content/author/author_id/57212512274,SCOPUS_ID:85076890449,Janz Aeinstein Fauni,J.A.F.,Villamayor
60071464,57212513230,Bautista L.,https://api.elsevier.com/content/author/author_id/57212513230,SCOPUS_ID:85076890449,Lorenzo Campos,L.C.,Bautista
60071464,56102277200,Uy R.,https://api.elsevier.com/content/author/author_id/56102277200,SCOPUS_ID:85076890449,Roger Luis,R.L.,Uy
123462670,57211848654,Oliquino J.,https://api.elsevier.com/content/author/author_id/57211848654,SCOPUS_ID:85075142807,Joseph Christian P.,J.C.P.,Oliquino
