venue,title,year,authors
pcj,Design Implementation and Evaluation of a Scanned Filipino Text-to-Speech Device as a Reading Aid for the Blind and Visually Impaired,2018,"Christian Paulo De Leon, Allan Adrian Gatchalian, Juan Miguel Ninobla, Nigel Roi Concepcion, David Joseph Catemprate, Ronald Pascual"
pcj,Developing an Automated Pipeline for Information Extraction and Speech Classification from Floor Debate Records of the House of Representatives of the Philippines,2018,"Carlos Alberto Arcenas, Miguel Galace, Marlene De Leon"
pcj,Automated Text Summarization of Research Papers Regarding the Effectiveness of Various Treatment Plans for Leukemia,2018,"Jan Apolline Estrella, Christian Philip Gelera, Christian Quinzon, Ethel Ong, Mc Jervis Villaruel, Edlen Mari Sanchez"
pcj,Extracting and Classifying Events from Social Media Posts for Life Story Generation,2018,"Robee Khyra Mae J. Te, Janica Mae M. Lam, Camille Alexis T.R. Saavedra, Alden Luc R. Hade, Ethel Ong"
pcj,Is there a Philippine English Vowel Space?,2018,"Nivea Jane Urdas, Jhon Rick Salvedia, Drew Dolot, John Meynard Sanchez, Jay Chester Usero, Ava Marie Villareal, Dewi Retnoningsih"
pcj,Optimal Allocation of Investment to Maximize an Insurer's Prospect Value Under Risk with Exponential Claims,2017,"Adrian R. Llamado, Jonathan B. Mamplata"
pcj,Split Bregman Iterations on Regularzied L1 Total Variation Models,2017,Marrick C. Neri
pcj,"Speech Emotion Recognition: Features, Techniques, and Evaluation",2017,Maria Art Antonette Clariño
pcj,Towards the Development of a Rule-Based Filipino Morphological Analyzer and Generator,2017,"Kristine Mae M. Adlaon, Charibeth Cheng, Maristella Aquino, Ervin Fernandez, Kevin Villanueva"
pcj,Design and Evaluation of a Reading Miscue Detector for a Computer-Aided Ilocano Language Learning System,2017,"Emmanuel M. Malaay, Michael B. Simora, Ronald John O. Cabatic, Ronald M. Pascual, Anthony B. Castillo, Ayman P. Cabotaje"
pcj,An Analysis of Network Activity in a Public University,2016,"Rozano S. Maniaol, Danilo J. Mercado"
pcj,Goal Programming Approach to Production Planning of a Roll Formaing Plant in the Philippines,2016,"Nilo T. Dela Cruz II, Gimelle B. Gamilla, Allen L. Nazareno"
pcj,Reflections on the Awareness and Progress of Natural Language Processing (NLP) Research in the Philippines,2016,Rodolfo Raga Jr
pcj,Clustering Different Philippine Languages using Trigrams,2016,"Angelica H. Dela Cruz, Maria Cristina P. Co, Adrian Martin S. Sy, Nathaniel Oco"
pcj,Towards an Extended Hybrid N-gram Grammar Checker Algorithm Applied in Filipino,2016,"Matthew Phillip Go, Allan Borra"
pcj,Automatic Text Summarization using ChainRank: A Hybrid Technique,2016,"Michael Angeles, Nathaniel Laxina, Maria Art Antonette Clariño, Rizza Mercado"
pcj,Using Statistical Machine Translation for Style and Grammar Correction,2016,"Manolito Octaviano Jr, Nathaniel Oco, Allan Borra"
pcj,"Meron o Mayroon: An Exploratory Study on Hiligaynon and Tagalog ""Diphthongs""",2016,"Diane Manzano, Samantha Jade Sadural"
pcj,On Self-Reproducibility and Reoptimization of Closest Substring Problem,2015,"Jeffrey A. Aborot, Henry N. Adorna, Jhoirene B. Clemente"
pcj,Homogeneous and other Weight Functions,2015,"Jane D. Palacio, Pierre Allan K. Santiago, John Paul V. Guim"
pcj,Graph an Information Theoretic Analysis of Correlation between Stock Market Indices,2015,"Gabriel Dominik E. Sison, Ulyses A. Solon Jr, Aimee B. Rarugal, Guido David, Giovanni A. Tapang"
pcj,A System for Sensing Human Sentiments to Augment a Model for Predicting Rare Lake Events,2015,Jaderick P. Pabico
pcj,Multi-Campus Implementation of University Information Systems,2015,"Jaime DL Caro, Rommel P. Feria, Ariel S. Betan, Annette G. Lagman, Rowena C. Solamo, Paulo Noel G. Paje"
pcj,String Matching Using Quantum Fourier Transform,2015,"Jeffrey A. Aborot, Henry N. Adorna"
pcj,Permutation Entropy of Card Shuffling,2015,Guido David
pcj,Notes on Language Relations among Transition P Systems,2015,"Richelle Ann B. Juayong, Henry N. Adorna, Kelvin C. Buno, Francis George C. Cabarle"
pcj,Synchronization of Ad Hoc Clock Networks,2015,Jaderick P. Pabico
pcj,An Algorithm for Propagating Graceful Trees Using the Adjacency Matrix of Given Graceful Trees,2014,"Marjo-Anne B. Acob, Jean O. Loyola"
pcj,System of Automata Recognizing Languages,2014,Kelvin C. Buno
pcj,On Communication Complexity of Some Hard Problems in ECPe Systems with Priority,2014,"Sherlyne L. Francia, Denise Alyssa A. Francisco, Richelle Ann B. Juayon, Henry N. Adorna"
pcj,Some Heuristics for the 2-Poset Cover Problem,2014,"Gabriel Alberto A. Sanchez, Proceso Fernandez Jr, John Paul C. Vergara"
pcj,Solving the Optimal Three-Stage Periodic Inventory Policy Using an Algorithm Coded in C#,2014,"Rodolfo Raga Jr, Jennifer D. Raga"
pcj,"Automated Planning of Children's Stories using Causal Links, Agents and Commensense Ontology",2014,"Ethel Ong, Jasmine Irene Ng"
pcj,Community Structure Detection and Analysis in Disaster Related Tweets,2014,"Harriet Angelie A. Gonzales, Kurt Junshean P. Espinosa"
pcj,Composer Classification of Filipino Song Lyrics Using Machine Learning,2014,"Oliver Isaac L. Chan, Patrick Joseph M. Sadornas, Rafael A. Cabredo, Charibeth Cheng"
pcj,Disaster-Related Participant Tweet Identification Using SVM,2014,"Lemuel John Beduya, Kurt Junshean P. Espinosa"
pcj,Generating Text Descriptions in the Alex Interactive Storytelling System using a Semantic Ontology,2014,"Rancelli Jane Roxas, Dollen Lour Huang, Bruce Elmer Peralta, Sahnir Yap, Ethel Ong"
pcj,Some Observations on the Sociophonetics of Kapampangan,2014,"Anne Grace H. Peralta, Layton Jan M. Tee"
pcj,Toward an Optimal Multilingual Natural Language Generator: Deep Source Analysis and Shallow Target Analysis,2014,"Tod Allman, Stephen Beale, Richard Denton"
