venue,title,year,authors
pcsc,Effect of k-Degree Anonymization via the UMGA Algorithm on the Performance of Machine Learning Algorithms,2019,"Mygel Andrei Martija, Neila Paglinawan, Henry N. Adorna"
pcsc,A Bayesian Network Knowledge Engineering and ValidaƟon using Structural and Parameter Learning for a C-based Intelligent Tutoring System,2019,"Teresita C. Limoanco, John Paul S. Guzman, Raymund C. Sison"
pcsc,Categorical Emotion Classification from Code-Switched Facebook Messages using Sequential Minimal Optimization Support Vector Machine Algorithm,2019,"Christian Dione Bergantin, Camille Bencito, Christian Paul Mirano, Larry Vea"
pcsc,Collatz One-Way Function as a Candidate Cryptographic Hash function,2019,"Jansen Keith Domoguen, Ruahden F. Dang-awan, Henry N. Adorna"
pcsc,Development of Convolutional Neural Modified Support Vector Machine (CNMSVM) Architecture for Satellite Imaging,2019,"Edgar Bryan B. Nicart, Tony Y. T. Chan, Ruji P. Medina"
pcsc,Mango Variety Recognizer Using Image Processing and Artificial Neural Network,2019,"Winston M. Tabada, Jerik G. Beltran"
pcsc,Do friends collaborate and perform better? : A Pair Program Tracing and Debugging Eye Tracking Experiment,2018,"Maureen M. Villamor, Ma. Mercedes T. Rodrigo"
pcsc,Dimensionality Reduction of Feature Word Vectors for Sentiment Classification of Philippine  Political Related Tweets,2018,"Kristine Mae M. Adlaon, Judith J. Azcarraga"
pcsc,Understanding Factors that Afect User Activity in Social Games,2018,"Neil Patrick Del Gallego, Remedios de Dios Bulos"
pcsc,Analysis of Static Code Reading Patterns,2018,"Christine Lourrine S. Tablatin, Ma. Mercedes T. Rodrigo"
pcsc,Facial Expressions Recognition in Filipino Sign Language: Classification using 3D Animation Units,2018,"Joanna Pauline Rivera, Clement Ong"
pcsc,Using Elliptic ElGamal Cryptosystem to Provide Privacy and Verifiability in Internet Voting,2018,"Berwin Jarret T. Yu, Richard Bryann L. Chua"
pcsc,Search for Tweets: Implementing a Geolocation Approcimation Feature for Disaster Tweets,2018,"Irene Therese Bermejo, Jan Nicole Domingo, Dion Alfonso Velasco, John Cliford Rosales, Ma. Regina Estuar, Kennedy E. Espina"
pcsc,Natural Language Interface for SQL Query Generation using Recurrent Neural Network,2018,"Nikko G. Cabang, Albert A. Vinluan, Jedidiah B. Constantino, Marc Angelo P. Martinez"
pcsc,Towards a Better Chord Recognition Algorithm Using Machine Learning Techniques,2018,"John Carlo A. Ariola, Jaymee A. Olaño, Mark Arthur A. Caro III, John Sixto G. Santos"
pcsc,Exploring Voxel-based Morphological Operators for Automatic LEGO Model Construction,2018,"Jennifer C. Ureta, Conrado R. Ruiz Jr"
pcsc,Wireless Configuration of Wireless Sensor and Actuator Network,2018,"Patricia Anne Eugenio, Gregory Cu, Fritz Kevin Flores"
pcsc,Finding the Short Swap Distance for Decreasing Permutations,2018,"Marco C. Lucena, John Paul C. Vergara"
pcsc,Matrix Representation and Simulation Algorithm for Spiking Neural P Systems with Rules on Synapses,2018,"Ren Tristan dela Cruz, Dionne Peter P. Cailipan, Jym Paul A. Carandang,
Francis George C. Cabarle, Kelvin Buño, Nestine Hope S. Hernandez, Henry N. Adorna"
pcsc,Stylomitter: Using Extreme Learning Machines and Language-agnostic Approach to Author Classification,2018,"Shenamae Borja, John Ultra"
pcsc,An Exhaustive Rule-Based Affix Extraction for Stemming in Tagalog ,2018,"Laurenz Adriel Tolentino, Allan Borra"
pcsc,A regularized nonconvex model for image segmentation,2018,"Maryene B. Sy Piecco, Marrick C. Neri"
pcsc,Improving Smith-Waterman Local Alignment Algorithm Using Thread Parallelization In Java,2018,"Mary Grace Malana, Laurenz Adriel Tolentino, Roger Luis Uy"
pcsc,"Driver Drowsiness Monitoring and Alert System using Image Processing, Fuzzy Logic with Path finding",2018,"Amiel John B. Atienza, Art Maco T. Del Rosario, John Carlo R. Gonzales, Marc Angelo P. Martinez, Carlo Marco S. Ortiz"
pcsc,Matrix Representation of Spiking Neural P Systems with Structural Plasticity,2018,"Ren Tristan dela Cruz, Zechariah B. Jimenez, Francis George C. Cabarle, Henry N. Adorna, Kelvin Buño, Nestine Hope Hernandez, Jym Paul Carandang"
pcsc,Prediction of MRT-3 Passenger Entrance Volume using Support Vector Machines,2018,"John Eric Z. Sy, Macliing Gabriel Q. Aydinan, Prospero C. Naval Jr."
pcsc,Designing Collaborative Applications using Usability Heuristics and Keystroke-Level Model,2018,"Nikko T. Borja, Ken V. Hosoya, Jared Luke C. Pangilinan, Mervin Stewart C. Uy, Rafael A. Cabredo"
pcsc,An Automatic Lead Sheet Generation of Melody and Chords from Singing Voice Using Melody Extraction and Chords Detection Algorithm,2018,Byran G. Dadiz
pcsc,Comparative Study of Detection-based Algorithms for Tracking Multiple Cars,2018,"Alquine Roy F. Taculin, Kardi Teknomo"
pcsc,Smart Flooring System Implementation for Movement Recognition through Low-Cost Force Sensitive Resistors,2018,"Baldip Bhuller, Fritz Kevin Flores, Joshua Manto, Arvin Medina, Naomi Mendaros"
pcsc,Comparing the Performance of a Hybrid Model Against a Single Model in Detecting DDoS Atacks,2018,"Jedidiah Caychingco, Gregory Cu"
pcsc,PollenEXT: Pollen Classification Using Extremely Randomized Trees,2018,"C.D.S. Ergina, V.M.II Romero"
pcsc,Quickgarde: A Plug-in for Detecting Cyberbullying Occurrences in Filipino Social Media Posts,2018,"Samantha G. Mallari, Faith I. Ballesteros, Eva R. Samillano, Paulo Miguel S. Capuz, Lorena R. Rabago, Ernesto C. Boydon"
pcsc,"2,000 Hours of Git and Databases: Raising the Bar forthe Minimum Standard of Database Backups in the Enterprise",2017,Jesus Vicente Roig
pcsc,CountApPH: Towards Machine-Assisted Auditing of Philippine Automated Election,2017,"Danen Clint Ocfemi, John D. Ultra"
pcsc,Clustering Sub-Saharan African and Filipino Adult Learners’ EEG Signals Towards Emotion Recognition,2017,"Vanlalhruaii Swansi, Judith J. Azcarraga"
pcsc,MMIPSS: Mobile-based MIPS64 Simulator,2017,"Charl Amaba, Darren Josef M. Kho, Angie M. Ceniza, Mark Isaiah Quevedo"
pcsc,SeeTrue – A Mobile Application for Recognizing Texts in Images through Optical Character Recognition,2017,"Heinrich Von P. Woogue, Kim Christian T. Cubillan, Mary Jane G. Sabellano"
pcsc,Comparative Study of Image Analysis and Classification on the Detection of Fusarium oxysporum f sp. cubense in Banana Leaves on Mobile Phones,2017,"Jose Emmanuel D. Torrijos, Adrian Cordero, Enrico Sison, Ma. Regina Estuar"
pcsc,Classifying Multi-Layered Attacks Using Correlation of Relevant Data in Network Access Technologies (Project Coordinate),2017,"Justin David Pineda, Joanna De Guzman, Adrian Tobias, Ruy Josel Verano, Jan Michael Bernardo"
pcsc,Global Alignment of Protein-Protein Interaction Networks Using Subgraph and Sequence Similarity,2017,"Camille C. Diez, Enrico M. Tria, John Paul C. Vergara"
pcsc,Corpus Annotation of Biomedical Journals for a Machine Learning Approach to Automatic Relation Extraction,2017,"Andrew Laron, Daniel Stanley Tan, Nathalie Rose Lim-Cheng, Angelyn Lao"
