paperID,author1,author2
14,Erika Ritzelle P. Bondoc,Jheanel E. Estrada
14,Francis Percival M. Caparas,John Eddie D. Macias
14,Francis Percival M. Caparas,Vileser T. Naculangga
14,Francis Percival M. Caparas,Jheanel E. Estrada
14,John Eddie D. Macias,Vileser T. Naculangga
14,John Eddie D. Macias,Jheanel E. Estrada
14,Vileser T. Naculangga,Jheanel E. Estrada
15,Gabriel K. De Jesus,Carlo D. Mendoza
15,Gabriel K. De Jesus,Alyssa Nicole N. Ty
15,Gabriel K. De Jesus,John Paul C. Vergara
15,Carlo D. Mendoza,Alyssa Nicole N. Ty
15,Carlo D. Mendoza,John Paul C. Vergara
15,Alyssa Nicole N. Ty,John Paul C. Vergara
16,Katrina B. Calpito,David Jonathan L. Relacion
16,Katrina B. Calpito,Juan Miguel C. Roman
16,Katrina B. Calpito,Trisha Regine P. Wang
16,Katrina B. Calpito,Cecil Jose A. Delfinado
16,David Jonathan L. Relacion,Juan Miguel C. Roman
16,David Jonathan L. Relacion,Trisha Regine P. Wang
16,David Jonathan L. Relacion,Cecil Jose A. Delfinado
16,Juan Miguel C. Roman,Trisha Regine P. Wang
16,Juan Miguel C. Roman,Cecil Jose A. Delfinado
16,Trisha Regine P. Wang,Cecil Jose A. Delfinado
17,Albuen Jan Rosello,Victor Romero II
18,Patricia Nicole Uy,Jayce Caylah Ching
18,Patricia Nicole Uy,Gener Angelo Lopez
18,Jayce Caylah Ching,Gener Angelo Lopez
19,Christian Chan,Jose Mirabueno
19,Christian Chan,Justin San Pedro
19,Christian Chan,Andrei D. Coronel
19,Jose Mirabueno,Justin San Pedro
19,Jose Mirabueno,Andrei D. Coronel
19,Justin San Pedro,Andrei D. Coronel
20,Neil Patrick Del Gallego,Raymund C. Sison
21,Mygel Andrei Martija,Neila Paglinawan
21,Mygel Andrei Martija,Henry N. Adorna
21,Neila Paglinawan,Henry N. Adorna
22,Teresita C. Limoanco,John Paul S. Guzman
22,Teresita C. Limoanco,Raymund C. Sison
22,John Paul S. Guzman,Raymund C. Sison
23,Christian Dione Bergantin,Camille Bencito
23,Christian Dione Bergantin,Christian Paul Mirano
23,Christian Dione Bergantin,Larry Vea
23,Camille Bencito,Christian Paul Mirano
23,Camille Bencito,Larry Vea
23,Christian Paul Mirano,Larry Vea
24,Jansen Keith Domoguen,Ruahden F. Dang-awan
24,Jansen Keith Domoguen,Henry N. Adorna
24,Ruahden F. Dang-awan,Henry N. Adorna
25,Edgar Bryan B. Nicart,Tony Y. T. Chan
