paperID,author1,author2,affiliation1,affiliation2,location,year
11,Renier G. Mendoza,Victoria May Paguio Mendoza,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
12,Christian dela Cruz,Thelma Palaoag,AMA Computer College,University of the Cordilleras,local,2019
13,Arvin Christopher Reyes,Neil Patrick Del Gallego,De La Salle University,De La Salle University,local,2019
14,Erika Ritzelle P. Bondoc,Francis Percival M. Caparas,Technological Institute of the Philippines - Manila,Technological Institute of the Philippines - Manila,local,2019
14,Erika Ritzelle P. Bondoc,John Eddie D. Macias,Technological Institute of the Philippines - Manila,Technological Institute of the Philippines - Manila,local,2019
14,Erika Ritzelle P. Bondoc,Vileser T. Naculangga,Technological Institute of the Philippines - Manila,Technological Institute of the Philippines - Manila,local,2019
14,Erika Ritzelle P. Bondoc,Jheanel E. Estrada,Technological Institute of the Philippines - Manila,Technological Institute of the Philippines - Manila,local,2019
14,Francis Percival M. Caparas,John Eddie D. Macias,Technological Institute of the Philippines - Manila,Technological Institute of the Philippines - Manila,local,2019
14,Francis Percival M. Caparas,Vileser T. Naculangga,Technological Institute of the Philippines - Manila,Technological Institute of the Philippines - Manila,local,2019
14,Francis Percival M. Caparas,Jheanel E. Estrada,Technological Institute of the Philippines - Manila,Technological Institute of the Philippines - Manila,local,2019
14,John Eddie D. Macias,Vileser T. Naculangga,Technological Institute of the Philippines - Manila,Technological Institute of the Philippines - Manila,local,2019
14,John Eddie D. Macias,Jheanel E. Estrada,Technological Institute of the Philippines - Manila,Technological Institute of the Philippines - Manila,local,2019
14,Vileser T. Naculangga,Jheanel E. Estrada,Technological Institute of the Philippines - Manila,Technological Institute of the Philippines - Manila,local,2019
15,Gabriel K. De Jesus,Carlo D. Mendoza,Ateneo de Manila University,Ateneo de Manila University,local,2019
15,Gabriel K. De Jesus,Alyssa Nicole N. Ty,Ateneo de Manila University,Ateneo de Manila University,local,2019
15,Gabriel K. De Jesus,John Paul C. Vergara,Ateneo de Manila University,Ateneo de Manila University,local,2019
15,Carlo D. Mendoza,Alyssa Nicole N. Ty,Ateneo de Manila University,Ateneo de Manila University,local,2019
15,Carlo D. Mendoza,John Paul C. Vergara,Ateneo de Manila University,Ateneo de Manila University,local,2019
15,Alyssa Nicole N. Ty,John Paul C. Vergara,Ateneo de Manila University,Ateneo de Manila University,local,2019
16,Katrina B. Calpito,David Jonathan L. Relacion,University of Santo Tomas,University of Santo Tomas,local,2019
16,Katrina B. Calpito,Juan Miguel C. Roman,University of Santo Tomas,University of Santo Tomas,local,2019
16,Katrina B. Calpito,Trisha Regine P. Wang,University of Santo Tomas,University of Santo Tomas,local,2019
16,Katrina B. Calpito,Cecil Jose A. Delfinado,University of Santo Tomas,University of Santo Tomas,local,2019
16,David Jonathan L. Relacion,Juan Miguel C. Roman,University of Santo Tomas,University of Santo Tomas,local,2019
16,David Jonathan L. Relacion,Trisha Regine P. Wang,University of Santo Tomas,University of Santo Tomas,local,2019
16,David Jonathan L. Relacion,Cecil Jose A. Delfinado,University of Santo Tomas,University of Santo Tomas,local,2019
16,Juan Miguel C. Roman,Trisha Regine P. Wang,University of Santo Tomas,University of Santo Tomas,local,2019
16,Juan Miguel C. Roman,Cecil Jose A. Delfinado,University of Santo Tomas,University of Santo Tomas,local,2019
16,Trisha Regine P. Wang,Cecil Jose A. Delfinado,University of Santo Tomas,University of Santo Tomas,local,2019
17,Albuen Jan Rosello,Victor Romero II,University of the Philippines - Visayas Tacloban College,University of the Philippines - Visayas Tacloban College,local,2019
18,Patricia Nicole Uy,Jayce Caylah Ching,Ateneo de Manila University,Ateneo de Manila University,local,2019
18,Patricia Nicole Uy,Gener Angelo Lopez,Ateneo de Manila University,Ateneo de Manila University,local,2019
18,Jayce Caylah Ching,Gener Angelo Lopez,Ateneo de Manila University,Ateneo de Manila University,local,2019
19,Christian Chan,Jose Mirabueno,Ateneo de Manila University,Ateneo de Manila University,local,2019
19,Christian Chan,Justin San Pedro,Ateneo de Manila University,Ateneo de Manila University,local,2019
19,Christian Chan,Andrei D. Coronel,Ateneo de Manila University,Ateneo de Manila University,local,2019
19,Jose Mirabueno,Justin San Pedro,Ateneo de Manila University,Ateneo de Manila University,local,2019
19,Jose Mirabueno,Andrei D. Coronel,Ateneo de Manila University,Ateneo de Manila University,local,2019
19,Justin San Pedro,Andrei D. Coronel,Ateneo de Manila University,Ateneo de Manila University,local,2019
20,Neil Patrick Del Gallego,Raymund C. Sison,De La Salle University,De La Salle University,local,2019
21,Mygel Andrei Martija,Neila Paglinawan,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
21,Mygel Andrei Martija,Henry N. Adorna,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
21,Neila Paglinawan,Henry N. Adorna,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
22,Teresita C. Limoanco,John Paul S. Guzman,De La Salle University,De La Salle University,local,2019
22,Teresita C. Limoanco,Raymund C. Sison,De La Salle University,De La Salle University,local,2019
22,John Paul S. Guzman,Raymund C. Sison,De La Salle University,De La Salle University,local,2019
23,Christian Dione Bergantin,Camille Bencito,Mapua University,Mapua University,local,2019
23,Christian Dione Bergantin,Christian Paul Mirano,Mapua University,Mapua University,local,2019
23,Christian Dione Bergantin,Larry Vea,Mapua University,Mapua University,local,2019
23,Camille Bencito,Christian Paul Mirano,Mapua University,Mapua University,local,2019
23,Camille Bencito,Larry Vea,Mapua University,Mapua University,local,2019
23,Christian Paul Mirano,Larry Vea,Mapua University,Mapua University,local,2019
24,Jansen Keith Domoguen,Ruahden F. Dang-awan,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
24,Jansen Keith Domoguen,Henry N. Adorna,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
24,Ruahden F. Dang-awan,Henry N. Adorna,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2019
25,Edgar Bryan B. Nicart,Tony Y. T. Chan,Technological Institute of the Philippines,Technological Institute of the Philippines,local,2019
25,Edgar Bryan B. Nicart,Ruji P. Medina,Technological Institute of the Philippines,Technological Institute of the Philippines,local,2019
25,Tony Y. T. Chan,Ruji P. Medina,Technological Institute of the Philippines,Technological Institute of the Philippines,local,2019
26,Winston M. Tabada,Jerik G. Beltran,Visayas State University,Visayas State University,local,2019
27,Maureen M. Villamor,Ma. Mercedes T. Rodrigo,University of Southeastern Philippines,Ateneo de Manila University,local,2018
28,Kristine Mae M. Adlaon,Judith J. Azcarraga,University of the Immaculate Conception,De La Salle University,local,2018
29,Neil Patrick Del Gallego,Remedios de Dios Bulos,De La Salle University,De La Salle University,local,2018
30,Christine Lourrine S. Tablatin,Ma. Mercedes T. Rodrigo,Ateneo de Manila University,Ateneo de Manila University,local,2018
31,Joanna Pauline Rivera,Clement Y. Ong,De La Salle University,De La Salle University,local,2018
32,Berwin Jarret T. Yu,Richard Bryann L. Chua,University of the Philippines - Manila,University of the Philippines - Manila,local,2018
33,Irene Therese Bermejo,Jan Nicole Domingo,Ateneo de Manila University,Ateneo de Manila University,local,2018
33,Irene Therese Bermejo,Dion Alfonso Velasco,Ateneo de Manila University,Ateneo de Manila University,local,2018
33,Irene Therese Bermejo,John Cliford Rosales,Ateneo de Manila University,Ateneo de Manila University,local,2018
33,Irene Therese Bermejo,Ma. Regina Estuar,Ateneo de Manila University,Ateneo de Manila University,local,2018
33,Irene Therese Bermejo,Kennedy E. Espina,Ateneo de Manila University,Ateneo de Manila University,local,2018
33,Jan Nicole Domingo,Dion Alfonso Velasco,Ateneo de Manila University,Ateneo de Manila University,local,2018
33,Jan Nicole Domingo,John Cliford Rosales,Ateneo de Manila University,Ateneo de Manila University,local,2018
33,Jan Nicole Domingo,Ma. Regina Estuar,Ateneo de Manila University,Ateneo de Manila University,local,2018
33,Jan Nicole Domingo,Kennedy E. Espina,Ateneo de Manila University,Ateneo de Manila University,local,2018
33,Dion Alfonso Velasco,John Cliford Rosales,Ateneo de Manila University,Ateneo de Manila University,local,2018
33,Dion Alfonso Velasco,Ma. Regina Estuar,Ateneo de Manila University,Ateneo de Manila University,local,2018
33,Dion Alfonso Velasco,Kennedy E. Espina,Ateneo de Manila University,Ateneo de Manila University,local,2018
33,John Cliford Rosales,Ma. Regina Estuar,Ateneo de Manila University,Ateneo de Manila University,local,2018
33,John Cliford Rosales,Kennedy E. Espina,Ateneo de Manila University,Ateneo de Manila University,local,2018
33,Ma. Regina Estuar,Kennedy E. Espina,Ateneo de Manila University,Ateneo de Manila University,local,2018
34,Nikko G. Cabang,Albert A. Vinluan,New Era University,New Era University,local,2018
34,Nikko G. Cabang,Jedidiah B. Constantino,New Era University,New Era University,local,2018
34,Nikko G. Cabang,Marc Angelo P. Martinez,New Era University,New Era University,local,2018
34,Albert A. Vinluan,Jedidiah B. Constantino,New Era University,New Era University,local,2018
34,Albert A. Vinluan,Marc Angelo P. Martinez,New Era University,New Era University,local,2018
34,Jedidiah B. Constantino,Marc Angelo P. Martinez,New Era University,New Era University,local,2018
35,John Carlo A. Ariola,Jaymee A. Olaño,Ateneo de Naga University,Ateneo de Naga University,local,2018
35,John Carlo A. Ariola,Mark Arthur A. Caro III,Ateneo de Naga University,Ateneo de Naga University,local,2018
35,John Carlo A. Ariola,John Sixto G. Santos,Ateneo de Naga University,Ateneo de Naga University,local,2018
35,Jaymee A. Olaño,Mark Arthur A. Caro III,Ateneo de Naga University,Ateneo de Naga University,local,2018
35,Jaymee A. Olaño,John Sixto G. Santos,Ateneo de Naga University,Ateneo de Naga University,local,2018
35,Mark Arthur A. Caro III,John Sixto G. Santos,Ateneo de Naga University,Ateneo de Naga University,local,2018
36,Jennifer C. Ureta,Conrado R. Ruiz Jr,De La Salle University,De La Salle University,local,2018
37,Patricia Anne Eugenio,Gregory Cu,De La Salle University,De La Salle University,local,2018
37,Patricia Anne Eugenio,Fritz Kevin Flores,De La Salle University,De La Salle University,local,2018
37,Gregory Cu,Fritz Kevin Flores,De La Salle University,De La Salle University,local,2018
