Author 1,Author 2,ID 1,ID 2,Affiliation 1,Affiliation 2,Year,DOI,EID,General Areas,Specific Areas,AUID 1,AUID 2
Neil Patrick Brillantes,Ligaya Leah Lara Figueroa,57202320954,56531611200,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047857450,"Artificial Intelligence; Hardware and Architecture; Information Systems; Software; Safety, Risk, Reliability and Quality; Social Sciences (miscellaneous)",COMP; ENGI; SOCI,AUID-57202320954,AUID-56531611200
Haram Kim,Rommel P. Feria,57202323045,8713074000,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047857450,"Artificial Intelligence; Hardware and Architecture; Information Systems; Software; Safety, Risk, Reliability and Quality; Social Sciences (miscellaneous)",COMP; ENGI; SOCI,AUID-57202323045,AUID-8713074000
Haram Kim,Ma Rowena C. Solamo,57202323045,34977792000,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047857450,"Artificial Intelligence; Hardware and Architecture; Information Systems; Software; Safety, Risk, Reliability and Quality; Social Sciences (miscellaneous)",COMP; ENGI; SOCI,AUID-57202323045,AUID-34977792000
Haram Kim,Ligaya Leah Lara Figueroa,57202323045,56531611200,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047857450,"Artificial Intelligence; Hardware and Architecture; Information Systems; Software; Safety, Risk, Reliability and Quality; Social Sciences (miscellaneous)",COMP; ENGI; SOCI,AUID-57202323045,AUID-56531611200
Rommel P. Feria,Ma Rowena C. Solamo,8713074000,34977792000,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047857450,"Artificial Intelligence; Hardware and Architecture; Information Systems; Software; Safety, Risk, Reliability and Quality; Social Sciences (miscellaneous)",COMP; ENGI; SOCI,AUID-8713074000,AUID-34977792000
Rommel P. Feria,Ligaya Leah Lara Figueroa,8713074000,56531611200,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047857450,"Artificial Intelligence; Hardware and Architecture; Information Systems; Software; Safety, Risk, Reliability and Quality; Social Sciences (miscellaneous)",COMP; ENGI; SOCI,AUID-8713074000,AUID-56531611200
Ma Rowena C. Solamo,Ligaya Leah Lara Figueroa,34977792000,56531611200,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047857450,"Artificial Intelligence; Hardware and Architecture; Information Systems; Software; Safety, Risk, Reliability and Quality; Social Sciences (miscellaneous)",COMP; ENGI; SOCI,AUID-34977792000,AUID-56531611200
Paolo M. Ejercito,Kristine Gayle E. Nebrija,57202324437,57202323439,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047880514,"Artificial Intelligence; Hardware and Architecture; Information Systems; Software; Safety, Risk, Reliability and Quality; Social Sciences (miscellaneous)",COMP; ENGI; SOCI,AUID-57202324437,AUID-57202323439
Paolo M. Ejercito,Rommel P. Feria,57202324437,8713074000,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047880514,"Artificial Intelligence; Hardware and Architecture; Information Systems; Software; Safety, Risk, Reliability and Quality; Social Sciences (miscellaneous)",COMP; ENGI; SOCI,AUID-57202324437,AUID-8713074000
Paolo M. Ejercito,Ligaya Leah Lara-Figueroa,57202324437,57202324161,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047880514,"Artificial Intelligence; Hardware and Architecture; Information Systems; Software; Safety, Risk, Reliability and Quality; Social Sciences (miscellaneous)",COMP; ENGI; SOCI,AUID-57202324437,AUID-57202324161
Kristine Gayle E. Nebrija,Rommel P. Feria,57202323439,8713074000,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047880514,"Artificial Intelligence; Hardware and Architecture; Information Systems; Software; Safety, Risk, Reliability and Quality; Social Sciences (miscellaneous)",COMP; ENGI; SOCI,AUID-57202323439,AUID-8713074000
Kristine Gayle E. Nebrija,Ligaya Leah Lara-Figueroa,57202323439,57202324161,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047880514,"Artificial Intelligence; Hardware and Architecture; Information Systems; Software; Safety, Risk, Reliability and Quality; Social Sciences (miscellaneous)",COMP; ENGI; SOCI,AUID-57202323439,AUID-57202324161
Rommel P. Feria,Ligaya Leah Lara-Figueroa,8713074000,57202324161,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047880514,"Artificial Intelligence; Hardware and Architecture; Information Systems; Software; Safety, Risk, Reliability and Quality; Social Sciences (miscellaneous)",COMP; ENGI; SOCI,AUID-8713074000,AUID-57202324161
Paolo M. Ejercito,Kristine Gayle E. Nebrija,57202324437,57202323439,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047850246,"Artificial Intelligence; Hardware and Architecture; Information Systems; Software; Safety, Risk, Reliability and Quality; Social Sciences (miscellaneous)",COMP; ENGI; SOCI,AUID-57202324437,AUID-57202323439
Paolo M. Ejercito,Rommel P. Feria,57202324437,8713074000,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047850246,"Artificial Intelligence; Hardware and Architecture; Information Systems; Software; Safety, Risk, Reliability and Quality; Social Sciences (miscellaneous)",COMP; ENGI; SOCI,AUID-57202324437,AUID-8713074000
Paolo M. Ejercito,Ligaya Leah Lara-Figueroa,57202324437,57202324161,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047850246,"Artificial Intelligence; Hardware and Architecture; Information Systems; Software; Safety, Risk, Reliability and Quality; Social Sciences (miscellaneous)",COMP; ENGI; SOCI,AUID-57202324437,AUID-57202324161
Kristine Gayle E. Nebrija,Rommel P. Feria,57202323439,8713074000,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047850246,"Artificial Intelligence; Hardware and Architecture; Information Systems; Software; Safety, Risk, Reliability and Quality; Social Sciences (miscellaneous)",COMP; ENGI; SOCI,AUID-57202323439,AUID-8713074000
Kristine Gayle E. Nebrija,Ligaya Leah Lara-Figueroa,57202323439,57202324161,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047850246,"Artificial Intelligence; Hardware and Architecture; Information Systems; Software; Safety, Risk, Reliability and Quality; Social Sciences (miscellaneous)",COMP; ENGI; SOCI,AUID-57202323439,AUID-57202324161
Rommel P. Feria,Ligaya Leah Lara-Figueroa,8713074000,57202324161,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047850246,"Artificial Intelligence; Hardware and Architecture; Information Systems; Software; Safety, Risk, Reliability and Quality; Social Sciences (miscellaneous)",COMP; ENGI; SOCI,AUID-8713074000,AUID-57202324161
Karl Y. Kue,Gil C. Claudio,57201214566,6602749803,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85043985220,Computer Science Applications; Physical and Theoretical Chemistry,COMP; CHEM,AUID-57201214566,AUID-6602749803
Jason Maximino C. Ongpeng,Andres Winston C. Oreta,54387183600,6602446235,De La Salle University,De La Salle University,2018,,2-s2.0-85043392946,Materials Science (all); Instrumentation; Engineering (all); Process Chemistry and Technology; Computer Science Applications; Fluid Flow and Transfer Processes,MATE; PHYS; ENGI; CENG; COMP,AUID-54387183600,AUID-6602446235
Julie Ann Salido,Conrado Ruiz,57195107309,57200076488,De La Salle University,De La Salle University,2018,,2-s2.0-85042548688,Artificial Intelligence; Computer Science Applications; Information Systems and Management,COMP; DECI,AUID-57195107309,AUID-57200076488
