Author 1,Author 2,ID 1,ID 2,Affiliation 1,Affiliation 2,Year,DOI,EID,General Areas,Specific Areas,AUID 1,AUID 2
Adrian Christian Uy,Von Rafael Roque,57202286787,57202290397,De La Salle University,De La Salle University,2018,,2-s2.0-85047763345,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202286787,AUID-57202290397
Adrian Christian Uy,Joseph Rey Sta Agueda,57202286787,57202285150,De La Salle University,De La Salle University,2018,,2-s2.0-85047763345,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202286787,AUID-57202285150
Albert Dominic Caoile,Allen Jay Gagarin,57202284746,57202283760,De La Salle University,De La Salle University,2018,,2-s2.0-85047763345,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202284746,AUID-57202283760
Albert Dominic Caoile,Joshua Jiwee Samio,57202284746,57202286534,De La Salle University,De La Salle University,2018,,2-s2.0-85047763345,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202284746,AUID-57202286534
Albert Dominic Caoile,Von Rafael Roque,57202284746,57202290397,De La Salle University,De La Salle University,2018,,2-s2.0-85047763345,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202284746,AUID-57202290397
Albert Dominic Caoile,Joseph Rey Sta Agueda,57202284746,57202285150,De La Salle University,De La Salle University,2018,,2-s2.0-85047763345,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202284746,AUID-57202285150
Allen Jay Gagarin,Joshua Jiwee Samio,57202283760,57202286534,De La Salle University,De La Salle University,2018,,2-s2.0-85047763345,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202283760,AUID-57202286534
Allen Jay Gagarin,Von Rafael Roque,57202283760,57202290397,De La Salle University,De La Salle University,2018,,2-s2.0-85047763345,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202283760,AUID-57202290397
Allen Jay Gagarin,Joseph Rey Sta Agueda,57202283760,57202285150,De La Salle University,De La Salle University,2018,,2-s2.0-85047763345,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202283760,AUID-57202285150
Joshua Jiwee Samio,Von Rafael Roque,57202286534,57202290397,De La Salle University,De La Salle University,2018,,2-s2.0-85047763345,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202286534,AUID-57202290397
Joshua Jiwee Samio,Joseph Rey Sta Agueda,57202286534,57202285150,De La Salle University,De La Salle University,2018,,2-s2.0-85047763345,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202286534,AUID-57202285150
Von Rafael Roque,Joseph Rey Sta Agueda,57202290397,57202285150,De La Salle University,De La Salle University,2018,,2-s2.0-85047763345,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202290397,AUID-57202285150
Rhen Anjerome R. Bedruz,Edwin Sybingco,57189096030,55497208700,De La Salle University,De La Salle University,2018,,2-s2.0-85047730574,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57189096030,AUID-55497208700
Rhen Anjerome R. Bedruz,Argel A. Bandala,57189096030,55599317400,De La Salle University,De La Salle University,2018,,2-s2.0-85047730574,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57189096030,AUID-55599317400
Rhen Anjerome R. Bedruz,Ana Riza F. Quiros,57189096030,57189095486,De La Salle University,De La Salle University,2018,,2-s2.0-85047730574,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57189096030,AUID-57189095486
Rhen Anjerome R. Bedruz,Aaron Christian P. Uy,57189096030,57189092275,De La Salle University,De La Salle University,2018,,2-s2.0-85047730574,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57189096030,AUID-57189092275
Rhen Anjerome R. Bedruz,Elmer P. Dadios,57189096030,6602629924,De La Salle University,De La Salle University,2018,,2-s2.0-85047730574,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57189096030,AUID-6602629924
Edwin Sybingco,Argel A. Bandala,55497208700,55599317400,De La Salle University,De La Salle University,2018,,2-s2.0-85047730574,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-55497208700,AUID-55599317400
Edwin Sybingco,Ana Riza F. Quiros,55497208700,57189095486,De La Salle University,De La Salle University,2018,,2-s2.0-85047730574,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-55497208700,AUID-57189095486
Edwin Sybingco,Aaron Christian P. Uy,55497208700,57189092275,De La Salle University,De La Salle University,2018,,2-s2.0-85047730574,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-55497208700,AUID-57189092275
Edwin Sybingco,Elmer P. Dadios,55497208700,6602629924,De La Salle University,De La Salle University,2018,,2-s2.0-85047730574,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-55497208700,AUID-6602629924
Argel A. Bandala,Ana Riza F. Quiros,55599317400,57189095486,De La Salle University,De La Salle University,2018,,2-s2.0-85047730574,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-55599317400,AUID-57189095486
Argel A. Bandala,Aaron Christian P. Uy,55599317400,57189092275,De La Salle University,De La Salle University,2018,,2-s2.0-85047730574,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-55599317400,AUID-57189092275
Argel A. Bandala,Elmer P. Dadios,55599317400,6602629924,De La Salle University,De La Salle University,2018,,2-s2.0-85047730574,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-55599317400,AUID-6602629924
Ana Riza F. Quiros,Aaron Christian P. Uy,57189095486,57189092275,De La Salle University,De La Salle University,2018,,2-s2.0-85047730574,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57189095486,AUID-57189092275
Ana Riza F. Quiros,Elmer P. Dadios,57189095486,6602629924,De La Salle University,De La Salle University,2018,,2-s2.0-85047730574,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57189095486,AUID-6602629924
Aaron Christian P. Uy,Elmer P. Dadios,57189092275,6602629924,De La Salle University,De La Salle University,2018,,2-s2.0-85047730574,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57189092275,AUID-6602629924
S. Karim,B. D. Que,57202279089,57202284343,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202279089,AUID-57202284343
S. Karim,J. E. Que,57202279089,57202287438,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202279089,AUID-57202287438
S. Karim,L. P. Reyes,57202279089,57202284666,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202279089,AUID-57202284666
S. Karim,Laurence A. Gan Lim,57202279089,36806091600,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202279089,AUID-36806091600
S. Karim,Argel A. Bandala,57202279089,55599317400,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202279089,AUID-55599317400
S. Karim,Ryan Rhay P. Vicerra,57202279089,55319953900,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202279089,AUID-55319953900
S. Karim,Elmer P. Dadios,57202279089,6602629924,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202279089,AUID-6602629924
B. D. Que,J. E. Que,57202284343,57202287438,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202284343,AUID-57202287438
B. D. Que,L. P. Reyes,57202284343,57202284666,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202284343,AUID-57202284666
B. D. Que,Laurence A. Gan Lim,57202284343,36806091600,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202284343,AUID-36806091600
B. D. Que,Argel A. Bandala,57202284343,55599317400,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202284343,AUID-55599317400
B. D. Que,Ryan Rhay P. Vicerra,57202284343,55319953900,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202284343,AUID-55319953900
B. D. Que,Elmer P. Dadios,57202284343,6602629924,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202284343,AUID-6602629924
J. E. Que,L. P. Reyes,57202287438,57202284666,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202287438,AUID-57202284666
J. E. Que,Laurence A. Gan Lim,57202287438,36806091600,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202287438,AUID-36806091600
J. E. Que,Argel A. Bandala,57202287438,55599317400,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202287438,AUID-55599317400
J. E. Que,Ryan Rhay P. Vicerra,57202287438,55319953900,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202287438,AUID-55319953900
J. E. Que,Elmer P. Dadios,57202287438,6602629924,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202287438,AUID-6602629924
L. P. Reyes,Laurence A. Gan Lim,57202284666,36806091600,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202284666,AUID-36806091600
L. P. Reyes,Argel A. Bandala,57202284666,55599317400,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202284666,AUID-55599317400
L. P. Reyes,Ryan Rhay P. Vicerra,57202284666,55319953900,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202284666,AUID-55319953900
L. P. Reyes,Elmer P. Dadios,57202284666,6602629924,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202284666,AUID-6602629924
Laurence A. Gan Lim,Argel A. Bandala,36806091600,55599317400,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-36806091600,AUID-55599317400
Laurence A. Gan Lim,Ryan Rhay P. Vicerra,36806091600,55319953900,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-36806091600,AUID-55319953900
Laurence A. Gan Lim,Elmer P. Dadios,36806091600,6602629924,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-36806091600,AUID-6602629924
Argel A. Bandala,Ryan Rhay P. Vicerra,55599317400,55319953900,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-55599317400,AUID-55319953900
Argel A. Bandala,Elmer P. Dadios,55599317400,6602629924,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-55599317400,AUID-6602629924
Ryan Rhay P. Vicerra,Elmer P. Dadios,55319953900,6602629924,De La Salle University,De La Salle University,2018,,2-s2.0-85047757408,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-55319953900,AUID-6602629924
Edwin Arjae N. Alconcel,Aaron Angelo S. Avanica,57202284448,57202287745,De La Salle University,De La Salle University,2018,,2-s2.0-85047765210,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202284448,AUID-57202287745
Edwin Arjae N. Alconcel,Rowell M. Forones,57202284448,57202292748,De La Salle University,De La Salle University,2018,,2-s2.0-85047765210,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202284448,AUID-57202292748
Edwin Arjae N. Alconcel,Justin Philbert G. Ng,57202284448,57202291080,De La Salle University,De La Salle University,2018,,2-s2.0-85047765210,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202284448,AUID-57202291080
Edwin Arjae N. Alconcel,Renann G. Baldovino,57202284448,56741519000,De La Salle University,De La Salle University,2018,,2-s2.0-85047765210,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202284448,AUID-56741519000
Aaron Angelo S. Avanica,Rowell M. Forones,57202287745,57202292748,De La Salle University,De La Salle University,2018,,2-s2.0-85047765210,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202287745,AUID-57202292748
Aaron Angelo S. Avanica,Justin Philbert G. Ng,57202287745,57202291080,De La Salle University,De La Salle University,2018,,2-s2.0-85047765210,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202287745,AUID-57202291080
Aaron Angelo S. Avanica,Renann G. Baldovino,57202287745,56741519000,De La Salle University,De La Salle University,2018,,2-s2.0-85047765210,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202287745,AUID-56741519000
Rowell M. Forones,Justin Philbert G. Ng,57202292748,57202291080,De La Salle University,De La Salle University,2018,,2-s2.0-85047765210,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202292748,AUID-57202291080
Rowell M. Forones,Renann G. Baldovino,57202292748,56741519000,De La Salle University,De La Salle University,2018,,2-s2.0-85047765210,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202292748,AUID-56741519000
Justin Philbert G. Ng,Renann G. Baldovino,57202291080,56741519000,De La Salle University,De La Salle University,2018,,2-s2.0-85047765210,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202291080,AUID-56741519000
John Carlo V. Puno,Edwin Sybingco,57196415116,55497208700,De La Salle University,De La Salle University,2018,,2-s2.0-85047732078,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57196415116,AUID-55497208700
John Carlo V. Puno,Elmer P. Dadios,57196415116,6602629924,De La Salle University,De La Salle University,2018,,2-s2.0-85047732078,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57196415116,AUID-6602629924
John Carlo V. Puno,Ira Valenzuela,57196415116,56771148800,De La Salle University,De La Salle University,2018,,2-s2.0-85047732078,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57196415116,AUID-56771148800
Edwin Sybingco,Elmer P. Dadios,55497208700,6602629924,De La Salle University,De La Salle University,2018,,2-s2.0-85047732078,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-55497208700,AUID-6602629924
Edwin Sybingco,Ira Valenzuela,55497208700,56771148800,De La Salle University,De La Salle University,2018,,2-s2.0-85047732078,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-55497208700,AUID-56771148800
Elmer P. Dadios,Ira Valenzuela,6602629924,56771148800,De La Salle University,De La Salle University,2018,,2-s2.0-85047732078,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-6602629924,AUID-56771148800
Antonio Rafael Mina,Byron Tecson,57202286419,57202291314,De La Salle University,De La Salle University,2018,,2-s2.0-85047768983,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202286419,AUID-57202291314
Antonio Rafael Mina,Diane Veronica Virtucio,57202286419,57202285833,De La Salle University,De La Salle University,2018,,2-s2.0-85047768983,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202286419,AUID-57202285833
Antonio Rafael Mina,Charles B. Felix,57202286419,56941483300,De La Salle University,De La Salle University,2018,,2-s2.0-85047768983,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202286419,AUID-56941483300
Antonio Rafael Mina,Aristotle T. Ubando,57202286419,55326454500,De La Salle University,De La Salle University,2018,,2-s2.0-85047768983,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202286419,AUID-55326454500
Antonio Rafael Mina,Cynthia F. Madrazo,57202286419,56011278100,De La Salle University,De La Salle University,2018,,2-s2.0-85047768983,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202286419,AUID-56011278100
Antonio Rafael Mina,Renann G. Baldovino,57202286419,56741519000,De La Salle University,De La Salle University,2018,,2-s2.0-85047768983,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202286419,AUID-56741519000
Antonio Rafael Mina,Alvin B. Culaba,57202286419,6508063649,De La Salle University,De La Salle University,2018,,2-s2.0-85047768983,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202286419,AUID-6508063649
Byron Tecson,Diane Veronica Virtucio,57202291314,57202285833,De La Salle University,De La Salle University,2018,,2-s2.0-85047768983,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202291314,AUID-57202285833
