Source,Target,Type,Id,Label,timeset,Weight
Jhoirene B. Clemente,Jeffrey A. Aborot,Undirected,1,,,1
Rizza Mercado,Maria Art Antonette ClariÃ±o,Undirected,2,,,1
Christian Dione Bergantin,Camille Bencito,Undirected,3,,,1
Mc Jervis Villaruel,Edlen Mari Sanchez,Undirected,4,,,1
David Joseph Catemprate,Christian Paulo De Leon,Undirected,5,,,1
Jym Paul Carandang,John Matthew Villaflores,Undirected,6,,,1
Mark Lorenz F. Eustaquio,Jerry Y. Hom,Undirected,7,,,1
Rafael A. Cabredo,Joel D. Ilao,Undirected,8,,,1
Faith I. Ballesteros,Ernesto C. Boydon,Undirected,9,,,1
Rommel P. Feria,Paulo Noel G. Paje,Undirected,10,,,1
Rizza Mercado,Michael Angeles,Undirected,11,,,1
Rafael A. Cabredo,Charibeth Cheng,Undirected,12,,,1
Art Maco T. Del Rosario,Amiel John B. Atienza,Undirected,13,,,1
Jhoirene B. Clemente,Henry N. Adorna,Undirected,14,,,2
Val Randolf M. Madrid,Eliezer A. Albacea,Undirected,15,,,1
Mark Arthur A. Caro,III,Undirected,16,,,1
Somnath Bera,Joshua Dizon,Undirected,17,,,1
Francis George C. Cabarle,Ann Renzel Lagunda,Undirected,18,,,1
Ronald John O. Cabatic,Emmanuel M. Malaay,Undirected,19,,,1
Merlin Teodosia C. Suarez,Mauro Edmund Arce,Undirected,20,,,1
Justin San Pedro,Jose Mirabueno,Undirected,21,,,1
Jhon Rick Salvedia,Ava Marie Villareal,Undirected,22,,,1
Victor Romero II,Albuen Jan Rosello,Undirected,23,,,1
Clarissa Mae Garcia,Alexis Pantola,Undirected,24,,,1
Ricco Laxamana,Merlin Teodosia C. Suarez,Undirected,25,,,1
Shenamae Borja,John Ultra,Undirected,26,,,1
Dollen Lour Huang,Bruce Elmer Peralta,Undirected,27,,,1
Henry N. Adorna,George C. Cabarle,Undirected,28,,,1
Ren Tristan dela Cruz,Nestine Hope S. Hernandez,Undirected,29,,,1
Rocky Marcelino,Maria Art Antonette Clariâ€‹Ã±â€‹o,Undirected,30,,,1
William Emmanuel S. Yu,Aldrich Ellis C. Asuncion,Undirected,31,,,1
Novelle AnneÂ Sinco,Cecil JoseÂ Delfinado,Undirected,32,,,1
Paolo Tensuan,Arnulfo Azcarraga,Undirected,33,,,1
David Joseph Catemprate,Allan Adrian Gatchalian,Undirected,34,,,1
Reinald Kim Amplayo,Jason Occidental,Undirected,35,,,2
Henry N. Adorna,Dionne Peter P. Cailipan,Undirected,36,,,1
David Jonathan L. Relacion,Cecil Jose A. Delfinado,Undirected,37,,,1
Ryan ChristopherÂ Pinca,Allain Paolo Hiya,Undirected,38,,,1
Zechariah B. Jimenez,Kelvin BuÃ±o,Undirected,39,,,1
Justin David Pineda,Jan Michael Bernardo,Undirected,40,,,1
Xavier Jeaspher Eser,Patricia Angela Abu,Undirected,41,,,1
Ayman P. Cabotaje,Anthony B. Castillo,Undirected,42,,,1
Ulyses A. Solon Jr,Aimee B. Rarugal,Undirected,43,,,1
May Marie P. Talandron,Jun Rangie C. Obispo,Undirected,44,,,1
Ma. Mercedes T. Rodrigo,Christine Lourrine S. Tablatin,Undirected,45,,,1
Prospero C. Naval,Jr.,Undirected,46,,,1
Maryene B. Sy Piecco,Marrick C. Neri,Undirected,47,,,1
Warren AdamÂ Sto. Tomas,Novelle AnneÂ Sinco,Undirected,48,,,1
Krystel Arriane A. Cortez,Katrina Joy H. Magno,Undirected,49,,,1
Nathaniel Oco,Joel P. Ilao,Undirected,50,,,1
