Source,Target,Type,Id,Label,timeset,Weight
Emmanuel M. Malaay,Anthony B. Castillo,Undirected,51,,,1
Rowena C. Solamo,Rommel P. Feria,Undirected,52,,,1
Joshua Manto,Baldip Bhuller,Undirected,53,,,1
Mc Jervis Villaruel,Ethel Ong,Undirected,54,,,1
Henry N. Adorna,Francis George C. Cabarle,Undirected,55,,,5
Ravi D. Militar,Cymon Nicollo P. Marcaida,Undirected,56,,,1
Maritoni Escalona,Edward Tighe,Undirected,57,,,1
Warren AdamÂ Sto. Tomas,Cecil JoseÂ Delfinado,Undirected,58,,,1
Rizza Mercado,Nathaniel Laxina,Undirected,59,,,1
Proceso  Fernandez Jr.,Joseph J. Bautista,Undirected,60,,,1
Roger Luis Uy,Prane Mariel B. Ong,Undirected,61,,,1
Merlin Teodosia C. Suarez,Joel P. Ilao,Undirected,62,,,1
Rachel Anne G. Concepcion,Marrick C. Neri,Undirected,63,,,1
Somnath Bera,Jean Malolos,Undirected,64,,,1
Louie Anson Ng,Charibeth Cheng,Undirected,65,,,1
Stephen Beale,Richard Denton,Undirected,66,,,1
Lemuel Clark P. Velasco,Christelle R. Villezas,Undirected,67,,,1
Nigel Roi Concepcion,Allan Adrian Gatchalian,Undirected,68,,,1
Michael Angeles,Maria Art Antonette ClariÃ±o,Undirected,69,,,1
Ryan Rey M. Daga,Proceso Fernandez Jr,Undirected,70,,,1
Kardi Teknomo,Alquine Roy F. Taculin,Undirected,71,,,1
Mark Isaiah Quevedo,Charl Amaba,Undirected,72,,,1
Ervin Fernandez,Charibeth Cheng,Undirected,73,,,2
Ruy Josel Verano,Joanna De Guzman,Undirected,74,,,1
Rex Bringula,Aaron Noel De Leon,Undirected,75,,,1
Ma. Regina Estuar,Kennedy E. Espina,Undirected,76,,,1
Francis Percival M. Caparas,Erika Ritzelle P. Bondoc,Undirected,77,,,1
Nathaniel Laxina,Michael Angeles,Undirected,78,,,1
Nigel Roi Concepcion,David Joseph Catemprate,Undirected,79,,,1
Christine Joy Infante,Annalyn Reganit,Undirected,80,,,1
Ma. Angelica Capuz,Lorraine Policarpio,Undirected,81,,,1
Novelle AnneÂ Sinco,Francis JonÂ Olaso,Undirected,82,,,1
Richelle Ann B. Juayong,Paul John O. Argarin,Undirected,83,,,1
Jerry Y. Hom,Emilio Angelo D. Alindogan,Undirected,84,,,1
Vincent Paul L. Carpio,Katrina Joy M. Abriol-Santos,Undirected,85,,,1
Camille Alexis T.R. Saavedra,Alden Luc R. Hade,Undirected,86,,,1
Marlene M. De Leon,Gian T. Salay,Undirected,87,,,1
Paul John O. Argarin,Henry N. Adorna,Undirected,88,,,1
Maria Cristina P. Co,Adrian Martin S. Sy,Undirected,89,,,2
Clarissa Mae Garcia,Celine Villafuerte,Undirected,90,,,1
Patricia Nicole Uy,Jayce Caylah Ching,Undirected,91,,,1
Tony Y. T. Chan,Ruji P. Medina,Undirected,92,,,1
Nathaniel Oco,Angelica H. Dela Cruz,Undirected,93,,,2
Ethel Ong,Bruce Elmer Peralta,Undirected,94,,,1
Larry Vea,Christian Dione Bergantin,Undirected,95,,,1
Giovanni A. Tapang,Aimee B. Rarugal,Undirected,96,,,1
Joshua Manto,Arvin Medina,Undirected,97,,,1
Ma. Angelica Capuz,Brylle Joseph Quinto,Undirected,98,,,1
Richelle Ann B. Juayong,Katrina B. Gapuz,Undirected,99,,,1
William Emmanuel S. Yu,Miguel Adrian C. Domingo,Undirected,100,,,1
Novelle AnneÂ Sinco,LawrenceÂ Miguel Antonio,Undirected,101,,,1
Rancelli Jane Roxas,Ethel Ong,Undirected,102,,,1
Rafael Gerard Formes,Chynna Julia Cordevilla,Undirected,103,,,1
Kurt Junshean P. Espinosa,Harriet Angelie A. Gonzales,Undirected,104,,,1
Pierre Allan K. Santiago,Jane D. Palacio,Undirected,105,,,1
Jan Michael Bernardo,Adrian Tobias,Undirected,106,,,1
Leif Romeritch Syliongka,Joel P. Ilao,Undirected,107,,,1
Ren Tristan dela Cruz,Jym Paul Carandang,Undirected,108,,,1
Richelle Ann B. Juayon,Denise Alyssa A. Francisco,Undirected,109,,,1
John Meynard Sanchez,Jhon Rick Salvedia,Undirected,110,,,1
Christian Edensor Arbon,Cedric Festin,Undirected,111,,,1
Melissa P. Juanillo,Emilio Angelo D. Alindogan,Undirected,112,,,1
Fatima Suzanne G. De Villa,Anna Janeri B. Ongcol,Undirected,113,,,1
Marie Yvette B. de Robles,Earl Jay F. Ledesma,Undirected,114,,,1
Paolo Josef,Merlin Teodosia C. Suarez,Undirected,115,,,1
Jaime DL Caro,Annette G. Lagman,Undirected,116,,,1
Sang N. Le,Conrado R. Ruiz Jr,Undirected,117,,,1
Pierangela C. Gabriel,Joel M. Addawe,Undirected,118,,,1
Ulyses A. Solon Jr,Giovanni A. Tapang,Undirected,119,,,1
Karlo Soriano,Conrad Olega,Undirected,120,,,1
Merlin Teodosia C. Suarez,Juan Lorenzo Hagad,Undirected,121,,,1
Ma. Mercedes T. Rodrigo,Josephine S. Dela Cruz,Undirected,122,,,1
John Carlo R. Gonzales,Amiel John B. Atienza,Undirected,123,,,1
Nikko T. Borja,Ken V. Hosoya,Undirected,124,,,1
Katrina B. Gapuz,Henry N. Adorna,Undirected,125,,,1
Nikkol John Morales,Jeno Paolo Rigor,Undirected,126,,,1
Jan Apolline Estrella,Edlen Mari Sanchez,Undirected,127,,,1
Paolo Josef,Kenneth Royce Brigola,Undirected,128,,,1
Roger Luis Uy,Joel D. Ilao,Undirected,129,,,1
Jose Mari Ramos,Daryll Santos,Undirected,130,,,1
Merlin Teodosia C. Suarez,Edward Tighe,Undirected,131,,,1
Chiara Veronica D. SeÃ±ires,Andrei D. Coronel,Undirected,132,,,1
Ray Carlo AÃ±onuevo,Dea Ferrer,Undirected,133,,,1
Ren Tristan dela Cruz,Dionne Peter P. Cailipan,Undirected,134,,,1
Ryan ChristopherÂ Pinca,Manolito Octaviano Jr.,Undirected,135,,,1
Robee Khyra Mae J. Te,Camille Alexis T.R. Saavedra,Undirected,136,,,1
Jay Chester Usero,Ava Marie Villareal,Undirected,137,,,1
Roger Luis Uy,Lorraine Policarpio,Undirected,138,,,1
Marjo-Anne B. Acob,Jean O. Loyola,Undirected,139,,,1
Selwyn Emerson Reyes,Ma. Angelica Capuz,Undirected,140,,,1
Joseph Benjamin Ferrer,Cedric Festin,Undirected,141,,,1
Paulo Miguel S. Capuz,Ernesto C. Boydon,Undirected,142,,,1
Maureen Lyndel C. Lauron,Jaderick P. Pabico,Undirected,143,,,1
Jan Nicole Domingo,Dion Alfonso Velasco,Undirected,144,,,1
Justin San Pedro,Christian Chan,Undirected,145,,,1
Richelle Ann B. Juayong,Neil Jonathan A. Joaquin,Undirected,146,,,1
John Carlo A. Ariola,III,Undirected,147,,,1
John Dinnex M. Valeros,Al Jamil L. Arazas,Undirected,148,,,1
Katrina Joy Abriol-Santos,Jorge Gil Angeles,Undirected,149,,,1
Macliing Gabriel Q. Aydinan,Jr.,Undirected,150,,,1
Marc Ericson Santos,Jayzon Ty,Undirected,151,,,1
Roberto Legaspi,Courtney Ngo,Undirected,152,,,1
Gabriel K. De Jesus,Alyssa Nicole N. Ty,Undirected,153,,,1
Kelvin BuÃ±o,Henry N. Adorna,Undirected,154,,,2
Ethel Ong,Christian Quinzon,Undirected,155,,,1
Ethel Ong,Christian Philip Gelera,Undirected,156,,,1
Jaime DL Caro,Ariel S. Betan,Undirected,157,,,1
Kenneth Royce Brigola,Annalyn Reganit,Undirected,158,,,1
Larry Vea,Christian Paul Mirano,Undirected,159,,,1
Lemuel John Beduya,Kurt Junshean P. Espinosa,Undirected,160,,,1
Maristella Aquino,Ervin Fernandez,Undirected,161,,,2
Mary B. Malana,Katrina T. Lacsamana,Undirected,162,,,1
Jan Apolline Estrella,Ethel Ong,Undirected,163,,,1
Michelle P. Banawan,Jasper Haven S. Briones,Undirected,164,,,1
Isabel M. Constantino,Andrei D. Coronel,Undirected,165,,,1
Jocelynn Cu,Catherine Mae PeÃ±a,Undirected,166,,,1
Solomon See,Courtney Ngo,Undirected,167,,,1
Mark Arthur A. Caro,Jaymee A. OlaÃ±o,Undirected,168,,,1
Kier Sostenes Guevara,Allan A. Sioson,Undirected,169,,,1
Nestine Hope Hernandez,Jym Paul Carandang,Undirected,170,,,1
Jhon Rick Salvedia,Drew Dolot,Undirected,171,,,1
Justin San Pedro,Andrei D. Coronel,Undirected,172,,,1
Patricia Nicole Uy,Gener Angelo Lopez,Undirected,173,,,1
Ricardo Q. Camungao,Bobby D. Gerardo,Undirected,174,,,1
Sahnir Yap,Bruce Elmer Peralta,Undirected,175,,,1
Fritz Kevin Flores,Baldip Bhuller,Undirected,176,,,1
Deanne Erika Buena,Celine Villafuerte,Undirected,177,,,1
Nerio Pascual,Bobby Gerardo,Undirected,178,,,1
Gimelle B. Gamilla,Allen L. Nazareno,Undirected,179,,,1
Deion C. Menor,Andrei D. Coronel,Undirected,180,,,1
Jose Mari Ramos,Aaron Noel De Leon,Undirected,181,,,1
Mc Jervis Villaruel,Jan Apolline Estrella,Undirected,182,,,1
Ma. Mercedes T. Rodrigo,Jayzon Ty,Undirected,183,,,1
Mark Isaiah Quevedo,Darren Josef M. Kho,Undirected,184,,,1
Celine Villafuerte,Allison Mae Yu,Undirected,185,,,1
Ren Tristan dela Cruz,Kelvin BuÃ±o,Undirected,186,,,2
Karlo Soriano,Aaron Manaloto,Undirected,187,,,1
Mark Allen Secreto Saclot,Jessie Brian Unabia Revil,Undirected,188,,,1
Giovanni A. Tapang,Gabriel Dominik E. Sison,Undirected,189,,,1
Marlene De Leon,Carlos Alberto Arcenas,Undirected,190,,,1
Roger Luis Uy,Ma. Angelica Capuz,Undirected,191,,,1
Mc Jervis Villaruel,Christian Quinzon,Undirected,192,,,1
Nigel Roi Concepcion,Christian Paulo De Leon,Undirected,193,,,1
Jose Emmanuel D. Torrijos,Adrian Cordero,Undirected,194,,,1
Sean Michael Amador,Jose Mari Ramos,Undirected,195,,,1
Zuleika A. Yee,Michelle P. Banawan,Undirected,196,,,1
Jedidiah B. Constantino,Albert A. Vinluan,Undirected,197,,,1
Dewi Retnoningsih,Ava Marie Villareal,Undirected,198,,,1
Ren Tristan dela Cruz,Jym Paul A. Carandang,Undirected,199,,,1
Jan Apolline Estrella,Christian Quinzon,Undirected,200,,,1
Janica Mae M. Lam,Alden Luc R. Hade,Undirected,201,,,1
Macario O. Cordel II,Eric R. Punzalan,Undirected,202,,,1
Ruji P. Medina,Edgar Bryan B. Nicart,Undirected,203,,,1
M. T. Malit,J. L. Agapito,Undirected,204,,,1
Nathalie Rose Lim-Cheng,Jonathan Yiu,Undirected,205,,,1
Christian Chan,Andrei D. Coronel,Undirected,206,,,1
Fernito Llanita,Danny C. Cheng,Undirected,207,,,1
Bryan Adam B. Tan,Anna Janeri B. Ongcol,Undirected,208,,,1
Paulo Noel G. Paje,Jaime DL Caro,Undirected,209,,,1
Katrina B. Calpito,Juan Miguel C. Roman,Undirected,210,,,1
Jose Mirabueno,Andrei D. Coronel,Undirected,211,,,1
Nestine Hope Hernandez,Henry N. Adorna,Undirected,212,,,1
Maria Katrina Donato,Andrei D. Coronel,Undirected,213,,,1
Macario O. Cordel II,Joel P. Ilao,Undirected,214,,,1
Mary B. Malana,Albert H. Rivera,Undirected,215,,,1
Marc Angelo P. Martinez,Amiel John B. Atienza,Undirected,216,,,1
Nivea Jane Urdas,Jhon Rick Salvedia,Undirected,217,,,1
Cedric Festin,Aaron Manaloto,Undirected,218,,,1
Naomi Mendaros,Fritz Kevin Flores,Undirected,219,,,1
Prinz Nikko C. Palahang,Christelle R. Villezas,Undirected,220,,,1
Nathaniel Oco,Leif Romeritch Syliongka,Undirected,221,,,2
Roland Joseph M. Gudani,Jazmine Paola B. Barroga,Undirected,222,,,1
Ma. Regina Estuar,Jose Emmanuel D. Torrijos,Undirected,223,,,1
Nestine Hope S. Hernandez,Katrina B. Gapuz,Undirected,224,,,1
Mark Lorenz F. Eustaquio,Ma. Christina R. Aragon,Undirected,225,,,1
John Carlo A. Ariola,Jaymee A. OlaÃ±o,Undirected,226,,,1
Roselle S. Basa,Aaron Noel De Leon,Undirected,227,,,1
Nathalie Rose Lim-Cheng,Daniel Stanley Tan,Undirected,228,,,1
Deion C. Menor,Cher T. Panlilio,Undirected,229,,,1
Kelvin BuÃ±o,Jym Paul Carandang,Undirected,230,,,1
Kok-Lim Low,Conrado R. Ruiz Jr,Undirected,231,,,1
Naomi Mendaros,Arvin Medina,Undirected,232,,,1
Lemuel Clark P. Velasco,Jerald Aldin A. Dagaang,Undirected,233,,,1
Teresita C. Limoanco,Raymund C. Sison,Undirected,234,,,1
Sony Renz Manalo,Allain Paolo Hiya,Undirected,235,,,1
Juan Miguel Ninobla,Allan Adrian Gatchalian,Undirected,236,,,1
Merlin Teodosia C. Suarez,Kenneth Royce Brigola,Undirected,237,,,1
Vileser T. Naculangga,Francis Percival M. Caparas,Undirected,238,,,1
Louie Lester E. Pascual,Allan A. Sioson,Undirected,239,,,1
Ryan ChristopherÂ Pinca,Nathaniel Oco,Undirected,240,,,1
Kevin Villanueva,Ervin Fernandez,Undirected,241,,,2
Karl Joseph Centillo,John Raymound Lemuel Javier,Undirected,242,,,1
Rafael Gerard Formes,Francis Bien Jan Viernes,Undirected,243,,,1
Merlin Teodosia C. Suarez,Lawrence Yap,Undirected,244,,,1
Kennethe Ann Q. Mina,Jasper Haven S. Briones,Undirected,245,,,1
John Cliford Rosales,Irene Therese Bermejo,Undirected,246,,,1
Rafael A. Cabredo,Jared Luke C. Pangilinan,Undirected,247,,,1
Nathaniel Oco,Manolito Octaviano Jr.,Undirected,248,,,1
Francis Bien Jan Viernes,Chynna Julia Cordevilla,Undirected,249,,,1
Roger Luis Uy,John Darill B. Desingco,Undirected,250,,,1
Irene Therese Bermejo,Dion Alfonso Velasco,Undirected,251,,,1
Richelle Ann B. Juayong,Henry N. Adorna,Undirected,252,,,3
Nivea Jane Urdas,Jay Chester Usero,Undirected,253,,,1
Nikkol John Morales,Fili Emerson Chua,Undirected,254,,,1
Ruahden F. Dang-awan,Jansen Keith Domoguen,Undirected,255,,,1
Maria Katrina Donato,Charles Jansen Ignacio,Undirected,256,,,1
Raymund E. Dilan,Proceso Fernandez Jr,Undirected,257,,,1
Kelvin BuÃ±o,Francis George C. Cabarle,Undirected,258,,,2
Charisse Hong,Ann Franchesca Laguna,Undirected,259,,,1
Miguel Galace,Carlos Alberto Arcenas,Undirected,260,,,1
Katrina Joy Abriol-Santos,Jaime Samaniego,Undirected,261,,,1
John Eddie D. Macias,Jheanel E. Estrada,Undirected,262,,,1
Samantha Jade Sadural,Diane Manzano,Undirected,263,,,1
Ma. Christina R. Aragon,Emilio Angelo D. Alindogan,Undirected,264,,,1
Henry N. Adorna,Genesis Ian Palaganas,Undirected,265,,,1
Rhia Trogo,Kevin Pagtakhan,Undirected,266,,,1
Regine Danica Regino,Andrei D. Coronel,Undirected,267,,,1
Ruy Josel Verano,Adrian Tobias,Undirected,268,,,1
Rafael A. Cabredo,Mervin Stewart C. Uy,Undirected,269,,,1
Novelle AnneÂ Sinco,JosephÂ Ordillano,Undirected,270,,,1
Jonathan Danao,Cedric Festin,Undirected,271,,,1
Joshua CastaÃ±eda,Jonathan Danao,Undirected,272,,,1
Ray Carlo AÃ±onuevo,Danny C. Cheng,Undirected,273,,,1
Nikko T. Borja,Mervin Stewart C. Uy,Undirected,274,,,1
Juan Miguel C. Roman,David Jonathan L. Relacion,Undirected,275,,,1
Febrev F. Dela Cruz,Emilio Angelo D. Alindogan,Undirected,276,,,1
George C. Cabarle,Francis,Undirected,277,,,1
Rancelli Jane Roxas,Dollen Lour Huang,Undirected,278,,,1
Paolo Josef,Christine Joy Infante,Undirected,279,,,1
Enrico M. Tria,Camille C. Diez,Undirected,280,,,1
Patricia Angela Abu,Joshua Zambales,Undirected,281,,,1
Michael B. Simora,Anthony B. Castillo,Undirected,282,,,1
Paul John O. Argarin,George C. Cabarle,Undirected,283,,,1
Macario O. Cordel II,Aaron Spencer K. Ngo,Undirected,284,,,1
John Sixto G. Santos,III,Undirected,285,,,1
Nathaniel Oco,Allain Paolo Hiya,Undirected,286,,,1
John Darill B. Desingco,Joel P. Ilao,Undirected,287,,,1
Tita R. Herradura,Joel P. Ilao,Undirected,288,,,1
Kennedy E. Espina,Irene Therese Bermejo,Undirected,289,,,1
Merlin Teodosia C. Suarez,Maritoni Escalona,Undirected,290,,,1
Joanna De Guzman,Adrian Tobias,Undirected,291,,,1
Kevin C. Henson,Benjamin Ryan B. Mendoza,Undirected,292,,,1
Ethel Ong,Dollen Lour Huang,Undirected,293,,,1
Christine Faith Tango,Andrei D. Coronel,Undirected,294,,,1
Paolo Gonzalez,Ella Mara Melanie Perez,Undirected,295,,,1
Vileser T. Naculangga,John Eddie D. Macias,Undirected,296,,,1
Joshua Manto,Fritz Kevin Flores,Undirected,297,,,1
Trisha Regine P. Wang,Cecil Jose A. Delfinado,Undirected,298,,,1
Robee Khyra Mae J. Te,Ethel Ong,Undirected,299,,,1
Joel P. Ilao,Eric R. Punzalan,Undirected,300,,,1
Mervin Stewart C. Uy,Jared Luke C. Pangilinan,Undirected,301,,,1
Selwyn Emerson Reyes,Lorraine Policarpio,Undirected,302,,,1
Carlo Adriano,Ann Franchesca Laguna,Undirected,303,,,1
Gian T. Salay,Christoffer F. Kho,Undirected,304,,,1
Marlene M. De Leon,Christoffer F. Kho,Undirected,305,,,1
Dea Ferrer,Danny C. Cheng,Undirected,306,,,1
Ruji Medina,Nerio Pascual,Undirected,307,,,1
Edlen Mari Sanchez,Christian Quinzon,Undirected,308,,,1
John Paul C. Vergara,Gabriel Alberto A. Sanchez,Undirected,309,,,1
Rowena C. Solamo,Annette G. Lagman,Undirected,310,,,1
Bobby Gerardo,Ariel Sison,Undirected,311,,,1
Jian Michael Wu,Catherine Mae PeÃ±a,Undirected,312,,,1
John Meynard Sanchez,Dewi Retnoningsih,Undirected,313,,,1
Karl Joseph Centillo,Jocelynn Cu,Undirected,314,,,1
Lorena R. Rabago,Eva R. Samillano,Undirected,315,,,1
Roger Luis Uy,Aaron Spencer K. Ngo,Undirected,316,,,1
Genesis Ian Palaganas,Ann Renzel Lagunda,Undirected,317,,,1
Nathalie Rose Lim-Cheng,Aaron Jan Baldomar,Undirected,318,,,1
Jayson A. Lucilo,Eduardo R. Mendoza,Undirected,319,,,1
Rafael A. Cabredo,Patrick Joseph M. Sadornas,Undirected,320,,,1
Proceso Fernandez Jr,John Paul C. Vergara,Undirected,321,,,1
Rex Bringula,Jose Mari Ramos,Undirected,322,,,1
Juan Miguel C. Roman,Cecil Jose A. Delfinado,Undirected,323,,,1
Marc Angelo P. Martinez,Albert A. Vinluan,Undirected,324,,,1
Jeffrey A. Aborot,Henry N. Adorna,Undirected,325,,,2
Paul John O. Argarin,Nestine Hope S. Hernandez,Undirected,326,,,1
Ren Tristan dela Cruz,Henry N. Adorna,Undirected,327,,,2
Miguel Mercado,Dea Ferrer,Undirected,328,,,1
Ethel Ong,Edlen Mari Sanchez,Undirected,329,,,1
Rancelli Jane Roxas,Bruce Elmer Peralta,Undirected,330,,,1
Jheanel E. Estrada,Francis Percival M. Caparas,Undirected,331,,,1
Roger Luis Uy,Joel P. Ilao,Undirected,332,,,1
Raphael Bihis,Ann Franchesca Laguna,Undirected,333,,,1
Mark Arthur A. Caro,John Sixto G. Santos,Undirected,334,,,1
Nestine Hope S. Hernandez,Dionne Peter P. Cailipan,Undirected,335,,,1
Nathalie Rose Lim-Cheng,Andrew Laron,Undirected,336,,,1
Jayce Caylah Ching,Gener Angelo Lopez,Undirected,337,,,1
Zechariah B. Jimenez,Jym Paul Carandang,Undirected,338,,,1
Juan Miguel Ninobla,David Joseph Catemprate,Undirected,339,,,1
Selwyn Emerson Reyes,Brylle Joseph Quinto,Undirected,340,,,1
Jocelynn Cu,Fili Emerson Chua,Undirected,341,,,1
Paulo Noel G. Paje,Annette G. Lagman,Undirected,342,,,1
Ronald Pascual,Nigel Roi Concepcion,Undirected,343,,,1
Jaime Samaniego,Almie Carajay,Undirected,344,,,1
Elijah Joshua Cayabyab,Cedric Festin,Undirected,345,,,1
Maria Isabel Saludares,Ligaya Leah Figueroa,Undirected,346,,,1
Nethania Katrina Surtida,Maria Katrina Donato,Undirected,347,,,1
Daniel Stanley Tan,Andrew Laron,Undirected,348,,,1
andÂ Jerome Ibanez,Eloisa Anne B. Gervasio,Undirected,349,,,1
Proceso Fernandez Jr,Jasper S. Agustin,Undirected,350,,,1
Gregory Cu,Fili Emerson Chua,Undirected,351,,,1
Prane Mariel B. Ong,John Darill B. Desingco,Undirected,352,,,1
Paolo Gonzalez,Jacob Chan,Undirected,353,,,1
Jedidiah Caychingco,Gregory Cu,Undirected,354,,,1
Ramon Rodriguez,Faramarz Ataollahi,Undirected,355,,,1
Z. E. L. Arcega,J. L. Agapito,Undirected,356,,,1
Nathaniel Oco,Manolito Octaviano Jr,Undirected,357,,,1
Michael B. Simora,Ayman P. Cabotaje,Undirected,358,,,1
Jonathan Audric Matias,Christine Faith Tango,Undirected,359,,,1
John D. Ultra,Danen Clint Ocfemi,Undirected,360,,,1
Justin David Pineda,Adrian Tobias,Undirected,361,,,1
Prane Mariel B. Ong,Macario O. Cordel II,Undirected,362,,,1
Deanne Erika Buena,Allison Mae Yu,Undirected,363,,,1
Ramon Rodriguez,Rafael A. Cabredo,Undirected,364,,,1
Sherlyne L. Francia,Henry N. Adorna,Undirected,365,,,1
Kevin C. Henson,Jan Renard L. Calalang,Undirected,366,,,1
John Lawrence PeÃ±afiel,Jocelynn Cu,Undirected,367,,,1
Roland Joseph M. Gudani,Miguel Paolo M. Quijano,Undirected,368,,,1
Cedric Festin,Anna Janeri B. Ongcol,Undirected,369,,,1
John Cliford Rosales,Jan Nicole Domingo,Undirected,370,,,1
Jonathan B. Mamplata,Adrian R. Llamado,Undirected,371,,,1
Michelle P. Banawan,Kennethe Ann Q. Mina,Undirected,372,,,1
Ravi D. Militar,Eloisa Anne B. Gervasio,Undirected,373,,,1
Victoria May Paguio Mendoza,Renier G. Mendoza,Undirected,374,,,1
Naomi Mendaros,Joshua Manto,Undirected,375,,,1
Ulyses A. Solon Jr,Gabriel Dominik E. Sison,Undirected,376,,,1
Katrina Joy Abriol-Santos,Almie Carajay,Undirected,377,,,1
Eva R. Samillano,Ernesto C. Boydon,Undirected,378,,,1
Rowena C. Solamo,Jaime DL Caro,Undirected,379,,,1
Neil Jonathan A. Joaquin,Francis,Undirected,380,,,1
Deanne Erika Buena,Alexis Pantola,Undirected,381,,,1
Raphael Bihis,Charisse Hong,Undirected,382,,,1
Guido David,Aimee B. Rarugal,Undirected,383,,,1
Z. E. L. Arcega,M. T. Malit,Undirected,384,,,1
Louie Lester E. Pascual,Al Jamil L. Arazas,Undirected,385,,,1
Karl Joseph Centillo,Catherine Mae PeÃ±a,Undirected,386,,,1
Nathaniel Oco,Maria Cristina P. Co,Undirected,387,,,2
Nathaniel Oco,Adrian Martin S. Sy,Undirected,388,,,2
Michelle Ormoc,Mauro Edmund Arce,Undirected,389,,,1
Michelle P. Banawan,Dewey L. Sia,Undirected,390,,,1
Kristine Mae M. Adlaon,Kevin Villanueva,Undirected,391,,,2
Richelle Ann B. Juayong,Nestine Hope S. Hernandez,Undirected,392,,,2
Maria Art Antonette Clariâ€‹Ã±â€‹o,Almie Carajay,Undirected,393,,,1
Ivy Ordanel,Henry N. Adorna,Undirected,394,,,1
JosephÂ Ordillano,Cecil JoseÂ Delfinado,Undirected,395,,,1
Melissa P. Juanillo,Jerry Y. Hom,Undirected,396,,,1
Juan Lorenzo Hagad,Christine Joy Infante,Undirected,397,,,1
Jun Rangie Obispo,Glen Charles Lopez,Undirected,398,,,1
Jay Chester Usero,Dewi Retnoningsih,Undirected,399,,,1
Nestine Hope Hernandez,Kelvin BuÃ±o,Undirected,400,,,1
Ronald John O. Cabatic,Anthony B. Castillo,Undirected,401,,,1
Regine Danica Regino,Christine Faith Tango,Undirected,402,,,1
Christian Edensor Arbon,Anthony Brian Dy,Undirected,403,,,1
