Id,Label,timeset,frequency,type,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,componentnumber,Cluster,clustering,triangles,eigencentrality
Ryan Vinluan,Ryan Vinluan,,5,author1; author2,5,5,5,0.256997,0.294224,0,0.00024,40,43,1,10,0.001593
Hazel Jovita,Hazel Jovita,,4,author1; author2,4,4,1,1,1,0,0.000243,77,150,1,6,0.00108
Ma Anniela B. Dela Cruz,Ma Anniela B. Dela Cruz,,2,author1; author2,2,2,1,1,1,0,0.000243,78,246,1,1,0.000454
Toby Bi,Toby Bi,,8,author1; author2,8,8,2,0.9,0.944444,0,0.000165,73,80,1,28,0.003261
Noli Mark A. Paala,Noli Mark A. Paala,,3,author1,3,3,1,1,1,0,0.000243,79,194,1,3,0.000743
Hiranya Jayakody,Hiranya Jayakody,,9,; author2,9,9,13,0.182079,0.224624,0,0.000235,0,9,1,36,0.00956
Jose Maria L. Escaner,Jose Maria L. Escaner,,2,author1; author2,2,2,1,1,1,0,0.000243,80,275,1,1,0.000454
Bryan Paul L. Javier,Bryan Paul L. Javier,,5,author1; author2,5,5,3,0.583333,0.666667,0,0.000211,81,64,1,10,0.001669
Sidney Sheldon Tan,Sidney Sheldon Tan,,4,author1; author2,4,4,15,0.146451,0.176667,0,0.00015,0,191,1,6,0.002075
Aaron Jules R. Del Rosario,Aaron Jules R. Del Rosario,,5,author1; author2,5,5,14,0.169283,0.210334,2210.59223,0.00016,0,9,0.4,4,0.009257
Bryan Angelo A. Gonzales,Bryan Angelo A. Gonzales,,4,author1; author2,4,4,15,0.145184,0.170269,0,0.000168,0,15,1,6,0.001821
Christian Joseph Ronquillo,Christian Joseph Ronquillo,,6,author1; author2,6,6,14,0.161865,0.200264,0,0.000108,0,0,1,15,0.013171
Francis B. Malit,Francis B. Malit,,3,author1,3,3,15,0.146123,0.175432,0,0.000105,0,0,1,3,0.001783
John Benedic R. Enriquez,John Benedic R. Enriquez,,8,; author2,4,8,2,0.75,0.833333,0,0.000274,82,109,1,6,0.001122
Amiel John B. Atienza,Amiel John B. Atienza,,4,author1,4,4,4,0.421053,0.526042,0,0.000211,6,54,1,6,0.001153
John Aries Hernandez,John Aries Hernandez,,6,author1; author2,6,6,1,1,1,0,0.000243,44,106,1,15,0.001925
Ma Luisa D. Enriquez,Ma Luisa D. Enriquez,,13,author1; author2,13,13,14,0.178566,0.229632,0,0.000214,0,0,1,78,0.025784
Marc Erwin O. Lagula,Marc Erwin O. Lagula,,4,author1; author2,4,4,15,0.145788,0.17599,0,0.000183,0,17,1,6,0.002143
Angelique Mae Alconera,Angelique Mae Alconera,,3,author1,3,3,5,0.29023,0.335314,0,0.000194,40,40,1,3,0.001142
Charles Kevin Verdad,Charles Kevin Verdad,,2,author1; author2,2,2,17,0.105226,0.117897,0,0.00012,0,35,1,1,0.000685
John Noel C. Victorino,John Noel C. Victorino,,2,; author2,2,2,2,0.555556,0.6,0,0.000143,69,74,1,1,0.000623
John Charles B. Lamchek,John Charles B. Lamchek,,10,author1; author2,5,10,13,0.150389,0.183257,0,0.000254,0,1,1,10,0.00419
Myung Sik Kim,Myung Sik Kim,,3,; author2,3,3,1,1,1,0,0.000243,83,192,1,3,0.000743
Roselle S. Basa,Roselle S. Basa,,7,author1; author2,6,7,17,0.112007,0.125733,2,0.000316,0,67,0.733333,11,0.001955
Giovanni A. Tapang,Giovanni A. Tapang,,6,; author2,6,6,1,1,1,8,0.000383,84,110,0.466667,7,0.001548
Vduani Martinez,Vduani Martinez,,5,author1; author2,5,5,1,1,1,0,0.000243,85,133,1,10,0.001472
Jefferson O. Ang,Jefferson O. Ang,,4,author1; author2,4,4,15,0.145341,0.173272,0,0.000173,0,81,1,6,0.001521
Mary Ann F. Quioc,Mary Ann F. Quioc,,2,author1,2,2,19,0.079987,0.085413,0,0.000166,0,46,1,1,0.000588
Adrian Cordero,Adrian Cordero,,3,author1; author2,3,3,2,0.588235,0.65,0,0.000189,69,74,1,3,0.000896
John Cris F. Jardin,John Cris F. Jardin,,10,author1; author2,10,10,19,0.082765,0.104128,0,0.000208,0,6,1,45,0.00876
Miguel Francis B. Yan,Miguel Francis B. Yan,,5,; author2,5,5,14,0.135723,0.160622,0,0.000185,0,1,1,10,0.002885
Joshua Jiwee Samio,Joshua Jiwee Samio,,5,author1; author2,5,5,15,0.143621,0.171912,0,0.000174,0,145,1,10,0.002284
C. P. Dimalanta,C. P. Dimalanta,,12,author1; author2,12,12,18,0.105617,0.125154,0,0.00019,0,4,1,66,0.010388
Jessica Christie B Pabico,Jessica Christie B Pabico,,2,; author2,2,2,15,0.12377,0.135829,0,0.000132,0,18,1,1,0.001075
Justine Caesar C. Ferrer,Justine Caesar C. Ferrer,,5,author1,5,5,15,0.116805,0.131406,0,0.000216,0,82,1,10,0.001706
Romeo P. Evangelista,Romeo P. Evangelista,,2,author1,2,2,2,0.666667,0.75,0,0.000178,86,181,1,1,0.000511
Nasrin Yazdanian,Nasrin Yazdanian,,3,author1,3,3,1,1,1,0,0.000243,67,193,1,3,0.000743
Lia Sophia San Miguel,Lia Sophia San Miguel,,3,; author2,3,3,1,1,1,0,0.000243,13,183,1,3,0.000743
Jauhar Ali,Jauhar Ali,,5,author1; author2,5,5,1,1,1,0,0.000243,87,134,1,10,0.001472
Juan Miguel P. Dela Cruz,Juan Miguel P. Dela Cruz,,6,author1; author2,6,6,14,0.152467,0.176965,0,0.000192,0,8,1,15,0.003516
Loyzel Ann C. Nieva,Loyzel Ann C. Nieva,,4,author1; author2,4,4,1,1,1,0,0.000243,88,151,1,6,0.00108
Christian Paulo De Leon,Christian Paulo De Leon,,5,author1,5,5,2,0.666667,0.75,0,0.000225,89,77,1,10,0.001595
Winston M. Tabada,Winston M. Tabada,,1,author1,1,1,1,1,1,0,0.000243,90,311,0,0,0.000208
Rio S. Pagtalunan,Rio S. Pagtalunan,,3,; author2,3,3,16,0.136969,0.164091,0,0.000137,0,3,1,3,0.001719
Alexander Erban,Alexander Erban,,11,author1; author2,6,11,1,1,1,0,0.000257,91,111,1,15,0.001925
Mehmood Ghaffar,Mehmood Ghaffar,,55,author1; author2,55,55,16,0.107929,0.136937,0,0.000254,0,7,1,1485,0.964798
Charles Jedidiah G. Policarpio,Charles Jedidiah G. Policarpio,,5,author1; author2,5,5,14,0.159714,0.19827,0,0.000161,0,167,1,10,0.006163
Isaiah Mari Zebedia Bautista,Isaiah Mari Zebedia Bautista,,8,author1; author2,4,8,1,1,1,0,0.000243,92,152,1,6,0.00108
Roxanne Addiezza King,Roxanne Addiezza King,,4,author1; author2,4,4,14,0.153974,0.179272,0,0.000162,0,2,1,6,0.002492
Jason L. Espanola,Jason L. Espanola,,8,author1; author2,5,8,14,0.170911,0.222256,0,0.000139,0,0,1,10,0.020815
Alexis Dereeper,Alexis Dereeper,,20,author1; author2,20,20,15,0.120289,0.145459,0,0.000231,0,7,1,190,0.048355
Sean Michael Amador,Sean Michael Amador,,5,author1; author2,5,5,17,0.112002,0.125526,0,0.00023,0,67,1,10,0.001731
G. L. Tangonan,G. L. Tangonan,,6,; author2,6,6,19,0.094523,0.104371,0,0.000238,0,23,1,15,0.002078
Lhumen A. Tejano,Lhumen A. Tejano,,7,author1; author2,5,7,1,1,1,0.666667,0.00031,93,135,0.8,8,0.00138
Edrick B. Cuevas,Edrick B. Cuevas,,4,; author2,4,4,14,0.150821,0.179817,0,0.000149,0,1,1,6,0.002682
Ma Erica Lyn B. Fontamillas,Ma Erica Lyn B. Fontamillas,,3,; author2,3,3,1,1,1,0,0.000243,79,194,1,3,0.000743
Cyrill O. Escolano,Cyrill O. Escolano,,6,author1,2,6,14,0.169723,0.216468,0,0.000109,0,0,1,1,0.008994
James Matthew T Chua,James Matthew T Chua,,4,author1; author2,4,4,14,0.161974,0.204856,0,0.000135,0,214,1,6,0.007249
Micah Ramirez,Micah Ramirez,,3,; author2,3,3,2,0.615385,0.6875,0,0.000183,94,89,1,3,0.000856
Kristen Bhing V. Salvio,Kristen Bhing V. Salvio,,1,author1,1,1,18,0.101008,0.111756,0,0.000095,0,27,0,0,0.000587
Ian Langley L Lim,Ian Langley L Lim,,3,author1,3,3,1,1,1,0,0.000243,95,195,1,3,0.000743
Joanne Lorie R. Rivera,Joanne Lorie R. Rivera,,4,author1; author2,4,4,14,0.135358,0.158718,0,0.000173,0,1,1,6,0.002156
Ken Goldberg,Ken Goldberg,,12,; author2,12,12,14,0.14474,0.166689,0,0.000258,0,10,1,66,0.00729
Zhen Chen,Zhen Chen,,5,; author2,5,5,1,1,1,0,0.000243,96,139,1,10,0.001472
Limuel Khin L Estorque,Limuel Khin L Estorque,,1,author1,1,1,2,0.545455,0.583333,0,0.000135,97,112,0,0,0.000297
Ernesto C. Boydon,Ernesto C. Boydon,,5,; author2,5,5,1,1,1,0,0.000243,98,136,1,10,0.001472
Christian E. Perez,Christian E. Perez,,5,author1; author2,5,5,1,1,1,0,0.000243,99,137,1,10,0.001472
Lance Kevin G Apelo,Lance Kevin G Apelo,,5,author1; author2,5,5,14,0.161985,0.205063,0,0.000152,0,178,1,10,0.007809
