Source,Target,Type,Id,Label,timeset,Weight
Lean Karlo S. Tolentino,I. C. Valenzuela,Undirected,1,,,1
Irah Nathanne D. Tiburcio,Aniana Sofia M. Espiritu,Undirected,2,,,1
Jhoirene B. Clemente,Jeffrey A. Aborot,Undirected,3,,,2
Proceso Fernandez Jr.,Clarisa Albarillo,Undirected,4,,,1
Julia Dominic P. Espinola,Charles Brian D. Toribio,Undirected,5,,,1
Sarah Jane F. Fallaria,Nova Marie F. Rosas,Undirected,6,,,1
Toni Jan Keith Monserrat,Ellen Yi Luen Do,Undirected,7,,,1
Steven Lorenzo Mindoro,Arlo Ricardo Sanico,Undirected,8,,,1
Rica Pena,Jeremias A. Gonzaga,Undirected,9,,,1
Elizabeth Ann P. Prieto,Arven I. Cafe,Undirected,10,,,1
Emeliza R. Yabut,Amiel Ross H. Encina,Undirected,11,,,1
Justin Mi,Brandie Nonnecke,Undirected,12,,,1
Dyah Mutiarin,Achmad Nurmandi,Undirected,13,,,1
Ivan Jonathan E. Merginio,Francis Aldrine A. Uy,Undirected,14,,,1
Trevor Rife,Cyril Pommier,Undirected,15,,,1
Jhoirene B. Clemente,Henry N. Adorna,Undirected,16,,,4
Ronn Jarod R. Rosales,Drake Raphael Marcelo,Undirected,17,,,1
E. B. Adoptante,Alexander C. Abad,Undirected,18,,,1
Daniel Stanley Tan,Courtney Ngo,Undirected,19,,,1
Kristin Gail Cuevas,Gilfred Allen Madrigal,Undirected,20,,,1
Cheryll Ruth Reyes Soriano,Alron Jan Lam,Undirected,21,,,1
Paulo Noel G. Paje,Joy Nathalie M Avelino,Undirected,22,,,1
Rudolph V. Peralta,Gay Amabelle Go,Undirected,23,,,2
Louie Andrie R. Reyta,Franklin Godwin M. La̱ojan,Undirected,24,,,1
Maria Theresa De Leon,Carlo Miras,Undirected,25,,,1
P. A. Dela Cruz,Geozza D. Tan,Undirected,26,,,1
Noel T. Fortun,Eduardo R. Mendoza,Undirected,27,,,1
Clarissa Mae Garcia,Alexis Pantola,Undirected,28,,,1
Mathieu Rouard,David S. Marshall,Undirected,29,,,1
Ma. Regina Estuar,John Noel C. Victorino,Undirected,30,,,1
Laurence A. Gan Lim,Archie B. Maglaya,Undirected,31,,,2
Ricco Laxamana,Merlin Teodosia C. Suarez,Undirected,32,,,1
Miguel I̱igo Ma̱alac,Clifford Austin Dy,Undirected,33,,,1
Patricia I. Rico,Charles B. Felix,Undirected,34,,,1
Rheo B. Lamorena-Lim,Gerry Bagtasa,Undirected,35,,,2
Pascal Neveu,Clarysabel Tovar,Undirected,36,,,1
William P. Rey,Elcid A. Serrano,Undirected,37,,,1
Rosula Reyes,Derrick Sze,Undirected,38,,,1
Wilfredo I. Jose,Rizalinda L. De Leon,Undirected,39,,,1
Rhen Anjerome R. Bedruz,Diana Guehring,Undirected,40,,,1
Mary Josanne A. De Castro,Jared Kobe C. Llamas,Undirected,41,,,1
Emmanuel Freeman H. Paloma,Alec Denji S. Santos,Undirected,42,,,1
Vance Anthony Mendez Coronel,Rico Jossel Mindoro Maestro,Undirected,43,,,1
Jocelyn Flores Villaverde,Analyn N. Yumang,Undirected,44,,,1
Melvin James C. Delos Santos,Francis O. Santos,Undirected,45,,,1
Joanna Pauline Rivera,Ethel Chua Joy Ong,Undirected,46,,,1
Karlo Almario N. Garcia,James Troy D. Mendoza,Undirected,47,,,1
Rufo S. Marasigan,Cherry D. Casuat,Undirected,48,,,1
Lawrence Matthew S. Lin,Albert R. Ponce,Undirected,49,,,2
Ruji P. Medina,Edwin F. Galutira,Undirected,50,,,1
Robert Kerwin C. Billones,Immanuel Jose C. Valencia,Undirected,51,,,1
Edison A. Roxas,Argel A. Bandala,Undirected,52,,,1
Pierre Larmande,Iain Milne,Undirected,53,,,1
Ma Ellenita Carandang,Julien L. Carandang,Undirected,54,,,1
Madhavi Deveraj,Joseph M. De Guia,Undirected,55,,,1
Lovely Anne R. Perez,Lliandhea C. Figueroa,Undirected,56,,,1
Sequoia Beckman,Ken Goldberg,Undirected,57,,,1
M. Scaffardi,C. Klitis,Undirected,58,,,1
Nestor Michael C. Tiglao,Ian Christian Fernandez,Undirected,59,,,1
Rowena C. Solamo,Rommel P. Feria,Undirected,60,,,3
Maria Himaya Rabago,Charlene Louise Tormes,Undirected,61,,,1
Reinhard Simon,Cyril Pommier,Undirected,62,,,1
Ravi D. Militar,Cymon Nicollo P. Marcaida,Undirected,63,,,1
Neil Irvin F Cabello,Arnel A. Salvador,Undirected,64,,,1
Celina T. Hebron,Ara Leann E Laranang,Undirected,65,,,1
Paulo Arnel A. Pacheco,Aaron Don M. Africa,Undirected,66,,,1
Rojay Flores,Percival Forcadilla,Undirected,67,,,1
Naizmith Zorell T. Gonda,Jennifer C. Dela Cruz,Undirected,68,,,1
Francis Gregory Ng,Alvin Y. Chua,Undirected,69,,,1
