Source,Target,Type,Id,Label,timeset,Weight
Nemilyn Angeles-Fadchar,Jennifer C. Dela Cruz,Undirected,70,,,1
Ma Luisa D. Enriquez,Ma Ellenita Carandang,Undirected,71,,,1
S. V.Krishna Jagadish,Dirk K. Hincha,Undirected,72,,,2
Yasuyuki Sumi,Briane Paul V. Samson,Undirected,73,,,1
Ricca May Reyes,Jessica Velasco,Undirected,74,,,1
Rodrigo Emmanuel Roy,Ma. Mercedes T. Rodrigo,Undirected,75,,,1
Nathaniel Laxina,Michael Angeles,Undirected,76,,,1
Adrian Christopher Cardino,Adomar L. Ilao,Undirected,77,,,1
Raphael Magno,Larry Vea,Undirected,78,,,1
Reggie C. Gustilo,Alec Zandrae D Dubouzet,Undirected,79,,,1
Ralph Vincent J Regalado,Arian Yambao,Undirected,80,,,1
Vincent Paul L. Carpio,Katrina Joy M. Abriol-Santos,Undirected,81,,,1
Nathaniel C. Bantayan,Fe Andrea M. Tandoc,Undirected,82,,,2
Karl Patrick K. Cu,Bryan Jones C. Carzon,Undirected,83,,,1
Ryan Reyes,Ricardo Alasco,Undirected,84,,,1
Raphael Benedict G. Luta,Nilo T. Bugtai,Undirected,85,,,4
P. Castoldi,I. Cerutti,Undirected,86,,,1
Rafael Abbeloos,Marie AngÃ©lique Laporte,Undirected,87,,,1
Manuel Ruiz,Alexis Dereeper,Undirected,88,,,1
Iain Milne,Brian Pearce,Undirected,89,,,1
Paul John O. Argarin,Henry N. Adorna,Undirected,90,,,1
Reinhard Simon,David S. Marshall,Undirected,91,,,1
Maria Theresa Cunanan,Gabrielle Young Toledo,Undirected,92,,,1
Rafael Abbeloos,Ivan Perez-Masias,Undirected,93,,,1
Trevor Rife,Brian Pearce,Undirected,94,,,1
Reiichiro Christian S. Nakano,Edwin Sybingco,Undirected,95,,,1
Ma Rosario Concepcion O. Ang,Enrico Camero Paringit,Undirected,96,,,2
Jann Pauline P. Deriquito,Alejandro H. Ballado,Undirected,97,,,1
Patrisha Mae Salamatin,Jason J. Labaclado,Undirected,98,,,1
Nilo T. Bugtai,Danica Mitch M. Pacis,Undirected,99,,,1
Jordan Aiko Deja,John Patrick Tobias,Undirected,100,,,1
Johntee T. Tantuco,Benette P. Custodio,Undirected,101,,,1
Leendel Jane D Punzalan,Edwin R. Abucay,Undirected,102,,,1
Manuel Ruiz,Lindsay Triplett,Undirected,103,,,1
Reynaldo Gomez,Mary Anne M. Sahagun,Undirected,104,,,1
Sebastian Raubach,Cyril Pommier,Undirected,105,,,1
Rancelli Jane Roxas,Ethel Ong,Undirected,106,,,1
Elmer P. Dadios,Bernard G. Yasay,Undirected,107,,,1
Richard Dimagiba,Jeremias A. Gonzaga,Undirected,108,,,1
Mary Grace Ann C. Bautista,Aaron U. Aquino,Undirected,109,,,3
Richard Finkers,Ivan Perez-Masias,Undirected,110,,,1
Roderick Yap,John Clifford Konwat,Undirected,111,,,1
Robby B. Manrique,Al Rey C. Villagracia,Undirected,112,,,2
Wellington Villasin,Aaron John Zarzoso,Undirected,113,,,1
Ma Aimee De Los Reyes,Kit Erick Bartolome,Undirected,114,,,1
Melissa P. Juanillo,Emilio Angelo D. Alindogan,Undirected,115,,,1
Fatima Suzanne G. De Villa,Anna Janeri B. Ongcol,Undirected,116,,,1
Marloun P. Sejera,Charles S. Pundan,Undirected,117,,,1
Jessica Velasco,August C. Thio-ac,Undirected,118,,,3
Uon Leapheng,Sharaful Ilmi Paduman,Undirected,119,,,1
Timothy Amadoa,Christine Joy Estacion,Undirected,120,,,1
Hans Jefferson L. Lim,Clement Y. Ong,Undirected,121,,,1
Patrisha Mae Salamatin,Ericson D. Dimaunahan,Undirected,122,,,1
Jerome Christian M. Aranel,Earl Stephen Rey P. Montealegre,Undirected,123,,,1
Jennifer O. Aquino,Edmon O. Fernandez,Undirected,124,,,1
Stephan Kupsch,Amy P. Balcita,Undirected,125,,,1
P. J.Zeder Drilon,Nova Marie F. Rosas,Undirected,126,,,1
Vanessa Viel B Conoza,Rommel P. Feria,Undirected,127,,,1
Ted Lorenz U. Renon,Ralph Lawrence M. Listanco,Undirected,128,,,1
Paulo E. Felonia,Jasmin A. Caliwag,Undirected,129,,,1
Matthias Lange,Mathieu Rouard,Undirected,130,,,1
Ramon Rodriguez,Marlon A. Diloy,Undirected,131,,,1
Robert Kerwin C. Billones,Ana Riza F. Quiros,Undirected,132,,,2
Wilbert Jethro R. Limjoco,Jhoanna Rhodette Ibabao Pedrasa,Undirected,133,,,1
Wella Tatil,Delos Reyes,Undirected,134,,,1
M. Lavery,C. Klitis,Undirected,135,,,1
Mar Francis D.De Guzman,Calvin Artemies G. Hilario,Undirected,136,,,1
Lessandro Estelito,Elmer P. Dadios,Undirected,137,,,1
V. Toccafondo,P. Castoldi,Undirected,138,,,1
Rex Aurelius Robielos,Ma Caselyn Morada,Undirected,139,,,1
Joseph C. Nalunat,Erika May L. San Jose,Undirected,140,,,1
Yoshifumi Kitamura,Toni Jan Keith Monserrat,Undirected,141,,,1
Mark Chester F. Rey,Jiah M. Piloton,Undirected,142,,,1
Jericho S. Guanzon,Jabin Gilead P. Dela Rosa,Undirected,143,,,1
Evelyn Q. Raguindin,Danica Love E. Suterio,Undirected,144,,,1
Neil Stephen Lopez,Andres Philip Mayol,Undirected,145,,,1
Larrenz John O.Dela Cruz,Ian Gabriel S. Recio,Undirected,146,,,1
Mark Joshua Lvelasco,I. C. Valenzuela,Undirected,147,,,1
Ken Bryan F. Fabay,Adelson Chua,Undirected,148,,,1
Uwe Scholz,Kelly Robbins,Undirected,149,,,1
Mark Earvin V Alba,Bernard Raymond D. Pelayo,Undirected,150,,,1
Jayson Raymund D. Bermudez,Claire Nicole R. Lavarias,Undirected,151,,,1
Jasper Alvin D. Gan,Bianca Irene P. Dimaliwat,Undirected,152,,,1
Nelson Marcos,Arnulfo P. Azcarraga,Undirected,153,,,1
Pierre Larmande,Guillaume Cornut,Undirected,154,,,1
Raymund Paolo B Abad,Kenji Doi,Undirected,155,,,1
Meo Vincent C. Caya,Chad Ferrino P. Abuda,Undirected,156,,,1
Kelly Robbins,Jack Elendil B. Lagare,Undirected,157,,,1
Kenneth Royce Brigola,Annalyn Reganit,Undirected,158,,,1
Martin Angelo Semilla,Christina Marie Moneda,Undirected,159,,,1
R. Kumaraperumal,N. S. Sudarmanian,Undirected,160,,,1
P. Roxas,J. Cualquiera,Undirected,161,,,1
Rafael Josh B. Garay,Madeleine Richel B. Cabigas,Undirected,162,,,1
Leo D.P. Cubillan,Kristian Reubenson M. Tagalog,Undirected,163,,,1
Roderick Yap,Patrick Alvin C Tan,Undirected,164,,,1
Ryota C. Inomata,Gerard D. Von Galang,Undirected,165,,,1
Philip Glaser,Jonathan Wren,Undirected,166,,,1
Louie Balicanta,Czar Jakiri Soriano Sarmiento,Undirected,167,,,1
Roxanne A. Pagaduan,Gracelyn I. Delmita,Undirected,168,,,1
Ma Janice J. Gumasing,Catherine D. Siggaoat,Undirected,169,,,1
Mark Erdan S. Eugenio,Froilan E. De Guzman,Undirected,170,,,1
Clifford Austin Dy,Carlo Migel Bautista,Undirected,171,,,1
Yashmine Erika Saito,Edgar Galido,Undirected,172,,,1
Mathieu Rouard,Clay Birkett,Undirected,173,,,1
Louella B. Orillaza,Angelico Angeles,Undirected,174,,,1
Christian Joseph Ronquillo,Andres Philip Mayol,Undirected,175,,,1
Larmie S. Feliscuzo,Jeffrey A. Clarin,Undirected,176,,,1
Meo Vincent C. Caya,John Kenneth C. Asis,Undirected,177,,,1
Patricia Nicole Uy,Gener Angelo Lopez,Undirected,178,,,1
Rosula Reyes,M. Sorel,Undirected,179,,,1
Nerinissa R. De Leon,Avelina M. Aquino,Undirected,180,,,1
Deanne Erika Buena,Celine Villafuerte,Undirected,181,,,1
Emeliza R. Yabut,Claire Nicole R. Lavarias,Undirected,182,,,1
P. Prasadini,Ch Kranthi Kumar,Undirected,183,,,1
Russel Avery Roco,Kyle Matthew Jarque,Undirected,184,,,1
McTroy John S. Mordido,Leonardo Valiente,Undirected,185,,,1
Iain Milne,Dave Matthews,Undirected,186,,,1
Michael Thomson,Jillian Lang,Undirected,187,,,1
Nilo M. Arago,Bjorn V. Dimaya,Undirected,188,,,1
Raymond R. Tan,Jonathan R. Dungca,Undirected,189,,,2
Maria Theresa Perez,John Andrew Evangelista,Undirected,190,,,1
John Paul O. Gonzalo,Chielynne S. Lazatin,Undirected,191,,,1
Xedret Jan M. Tan,Charles Jedidiah G. Policarpio,Undirected,192,,,1
Ramon G. Garcia,Karl Jason B. Manait,Undirected,193,,,1
Zhengjie Liu,Akihiro Matsufuji,Undirected,194,,,1
Seigfred V. Prado,Jay Patrick M. Nieles,Undirected,195,,,1
Eduardo V. Manalili,Aristotle T. Ubando,Undirected,196,,,1
Kyle Ezekiel S. Juadines,Hsiao Tung-Yuan,Undirected,197,,,1
Mark Albert D. Alquiros,Analyn N. Yumang,Undirected,198,,,1
P. Roxas,K. Ybanez,Undirected,199,,,1
Josephine S.Dela Cruz,Jane M. Fernandez,Undirected,200,,,1
Renzo Leru L. Benemerito,Menchie Miranda,Undirected,201,,,1
Paola Jamie V. Uy,Charmaine C. Paglinawan,Undirected,202,,,1
Mark Joshua Lvelasco,Analovecia C. Valida,Undirected,203,,,1
Prospero C. Naval Jr.,Jerome Cary Beltran,Undirected,204,,,1
Julian Paolo De Castro,Brian Michael Poblete,Undirected,205,,,1
Louis Poblete AlarcÃ³n,Chris Vincent Jagunap Densing,Undirected,206,,,5
Rommel Evan J. Paje,Rodel Naz,Undirected,207,,,1
Arnel A. Salvador,Anthony Montecillo,Undirected,208,,,1
Jennifer Corpuz,Al Rey C. Villagracia,Undirected,209,,,1
Maricar S. Prudente,Karina L. Damo,Undirected,210,,,1
Jose Martin Maiiiiigo,Gerard Ely U. Faelden,Undirected,211,,,1
Patricia I. Rico,Andres Philip Mayol,Undirected,212,,,1
Patrizia Gayle P. Godinez,Benette P. Custodio,Undirected,213,,,1
Jayson C. Loreto,Blondie T. Sanchez,Undirected,214,,,1
Ofelia S. Mendoza,Angelie S. Sumalpong,Undirected,215,,,1
Jose B. Lazaro,Ericson D. Dimaunahan,Undirected,216,,,1
Mark Lorenz F. Eustaquio,Ma. Christina R. Aragon,Undirected,217,,,1
Wendy Gail Sia,Erika Mae Go,Undirected,218,,,1
Blondie T. Sanchez,Anthony M. Minoza,Undirected,219,,,1
Mary Joy Canon,Arlene Satuito,Undirected,220,,,1
Roderick Yap,David Sta Maria,Undirected,221,,,1
Nicolas Morales,Lukas A. Mueller,Undirected,222,,,1
Ted Lorenz U. Renon,Mark M. Anthony Ramirez,Undirected,223,,,1
Eduardo V. Manalili,Alvin B. Culaba,Undirected,224,,,1
Ryan Richard H. Guadana,Jerwin Ross R. Pugal,Undirected,225,,,1
Carla Ocampo,Benette P. Custodio,Undirected,226,,,1
Ramon Rodriguez,James Darryl D. Bungay,Undirected,227,,,1
Joseph Philip Fernan S. Gaston,Elmer B. Dollera,Undirected,228,,,1
Philix Anton R. Mascardo,Arvin H. Fernando,Undirected,229,,,1
Patrick KÃ¶nig,Jack Elendil B. Lagare,Undirected,230,,,1
Ronnie O. Serfa Juan,Maria Abigail B. Pamahoy,Undirected,231,,,1
Katherine Theresse Tungul,Claribelle Pia Arceo,Undirected,232,,,1
Mike Miguel B. Magalang,Joshua E. Refe,Undirected,233,,,1
Michael C. Pacis,E. E. Chua,Undirected,234,,,1
Ricardo H. RamÃ­rez-GonzÃ¡lez,Chaitanya Sarma,Undirected,235,,,1
Nelson B. Arboleda,Melanie Y. David,Undirected,236,,,2
Michael Angelo B. Promentilla,Alvin B. Culaba,Undirected,237,,,3
John Richard E. Hizon,Floro Barot,Undirected,238,,,1
Gabriela A. Eustaqio,Elmer P. Dadios,Undirected,239,,,1
Shaina Mara D. Caguicla,I. C. Valenzuela,Undirected,240,,,1
Sebastian Raubach,Mehmood Ghaffar,Undirected,241,,,1
Wes Vernon V. Lofamia,John Richard E. Hizon,Undirected,242,,,1
Dyan Veronica Bombais,Arrenzo Paul Perea,Undirected,243,,,1
Erwin Dennis Umali,Avery Nigel Rodriguez,Undirected,244,,,1
Proceso Fernandez Jr.,John Paul C. Vergara,Undirected,245,,,1
Kelvin Richie Co,Geanne Ross L Franco,Undirected,246,,,1
Ramon G. Garcia,Patrisha Mae Salamatin,Undirected,247,,,1
Walter Van J. Ramos,Paula Jean M. Castro,Undirected,248,,,1
Florinda T. Bacani,Aileen H. Orbecido,Undirected,249,,,1
Jenina L. Chua,Angelo Bruce L Magpantay,Undirected,250,,,1
Kristine Delica Campang,Chris Vincent Jagunap Densing,Undirected,251,,,1
Maria Angela T. Pabua,Benette P. Custodio,Undirected,252,,,1
John Gideon R. Sih,Andre Angelo I. Enriquez,Undirected,253,,,1
Ma Regina M. Hechanova,Anton Gabriel Yap,Undirected,254,,,1
Ray Carlo AÃ±onuevo,Danny C. Cheng,Undirected,255,,,1
Kristian Regio,Adrian Destreza,Undirected,256,,,1
Tiffany Lyn O. Pandes,Regino B. Medrano,Undirected,257,,,1
Olga Joy L. Gerasta,Najie M. Pandian,Undirected,258,,,2
Andrea R. Matira,Alisha Marcelle C. Aquino,Undirected,259,,,2
Eric Camilo R. Punzalan,Balintawak Sison-Gareza,Undirected,260,,,1
Joel B. Mangaba,Arlene Mae C. Valderama,Undirected,261,,,1
Jonathan Benedict Gonzales,Chudrack Salinas,Undirected,262,,,1
S. S. Satapathy,G. Romuga,Undirected,263,,,1
Joshua Balagapo,Jaime D.L. Caro,Undirected,264,,,1
Rico Jossel Mindoro Maestro,Abigail Alejandro Antenor,Undirected,265,,,1
Nestor Michael C. Tiglao,Erwin Jan L. San Pedro,Undirected,266,,,1
Yu Tung Chen,Cheng Chien Kuo,Undirected,267,,,1
N. S. Sudarmanian,E. Quicho,Undirected,268,,,1
Nicole Jillian B. Day,Alexander C. Abad,Undirected,269,,,1
John Isaac G. Enriquez,Alvin B. Culaba,Undirected,270,,,2
Samantha Denise F. Hilado,Elmer P. Dadios,Undirected,271,,,1
Mamerto T. Goneda,John Paul P. Miranda,Undirected,272,,,1
Jumelyn L. Torres,Jose Nicolas M. Santos,Undirected,273,,,1
Roel M. Ocampo,Josuel Racca,Undirected,274,,,1
Christian Miguel C. Pama,Alex Gyran A. Co,Undirected,275,,,2
Renann G. Baldovino,Gabriela Eustaquio,Undirected,276,,,1
Mark Daniel G. De Luna,Leni C. Ebrada,Undirected,277,,,1
Thippaya Chintakovid,Adi Tedjasaputra,Undirected,278,,,1
John R. Dela Cruz,Elmer P. Dadios,Undirected,279,,,2
Majella Cayley J. Domingo,Alyannah Bianca L. Saringan,Undirected,280,,,1
Joel L. Cuello,Gundelina S. Chua,Undirected,281,,,1
James Ii Curtney Li,Eireen Ng,Undirected,282,,,1
Jessica Pauline C. Afalla,Alexander De Los Reyes,Undirected,283,,,1
Ramon G. Garcia,Ellin Jiro Jacob,Undirected,284,,,1
Joshua Dizon,Beth Plale,Undirected,285,,,1
Gian T. Salay,Christoffer F. Kho,Undirected,286,,,1
Jennifer C. Dela Cruz,Glenn O. Avendano,Undirected,287,,,1
Lukas A. Mueller,Bruno Vasques Costa,Undirected,288,,,1
Mark Renier M. Bailon,Lawrence Y. Materum,Undirected,289,,,1
Jayashree,Asha Manami,Undirected,290,,,1
Rey L. Jalbuena,Ariel C. Blanco,Undirected,291,,,1
Puthick Hok,Guilhem SempÃ©rÃ©,Undirected,292,,,1
John Robert Mendoza,Jason Haga,Undirected,293,,,1
Sean Tagle,Rica Pena,Undirected,294,,,1
Minchie Fel Lou Amongos,Ian Lindley G. Olmoguez,Undirected,295,,,1
Hernanie T. Salazar,Eloise P. Anguluan,Undirected,296,,,1
Maria Teresa R. Pulido,Dexter Dave R. Valdeavilla,Undirected,297,,,2
David A. Lyon,Dave Matthews,Undirected,298,,,1
Lany MacEda,Arlene Satuito,Undirected,299,,,1
Nico B. Del Rosario,Don Romielito N. Abanes,Undirected,300,,,1
Aristotle T. Ubando,Anton Louise P. De Ocampo,Undirected,301,,,1
Omar E. Benites-Alfaro,Guilhem SempÃ©rÃ©,Undirected,302,,,1
Iole Geil Vengco,Hans Christian Dureza,Undirected,303,,,1
Philip Glaser,Matthias Lange,Undirected,304,,,1
Jayce Caylah Ching,Gener Angelo Lopez,Undirected,305,,,1
Roland V. Sarmago,Hernanie T. Salazar,Undirected,306,,,1
Mikka Ellah T. Medina,Charmaine C. Paglinawan,Undirected,307,,,1
Jasmine M. Lalanto,Alexander C. Abad,Undirected,308,,,1
Prince Aldrin Domer,Maria Leonora C. Guico,Undirected,309,,,2
Vincent Delica,Alfred Orquia,Undirected,310,,,1
Maikel Verouden,Evangelia Papoutsoglou,Undirected,311,,,1
Rigel Pesit,Lorenzo Mari A Mapili,Undirected,312,,,1
Valynn Katrine Mag-usara,Joybelle Lopez,Undirected,313,,,1
Rico R. Salem,Jiah M. Piloton,Undirected,314,,,1
Marie AngÃ©lique Laporte,Chaitanya Sarma,Undirected,315,,,1
Lesly Jean D. Go,Angie M. Ceniza,Undirected,316,,,1
Leonard U. Ambata,Fernando I. Ablaza,Undirected,317,,,1
Leonard U. Ambata,Ivan Darren J. Evangelista,Undirected,318,,,1
Franklin Oliva,Daniel Joseph T. De La Serna,Undirected,319,,,1
Peter Mark P. Buay,Angelo A. Beltran,Undirected,320,,,1
S. Pazhanivelan,E. Quicho,Undirected,321,,,1
Marjorie V. Remolador,Ma Rosario Concepcion O. Ang,Undirected,322,,,1
Karl Cedric Gonzales,Arven I. Cafe,Undirected,323,,,1
Nestor Michael C. Tiglao,Armando Celso,Undirected,324,,,1
Rusty John Lloyd Rodriguez Mina,Marc Driz Rosales,Undirected,325,,,1
Rhen Anjerome R. Bedruz,Daniel Dominic N. Abinoja,Undirected,326,,,2
Lemmuel L. Tayo,Andrea R. Matira,Undirected,327,,,2
Patrick KÃ¶nig,David S. Lebauer,Undirected,328,,,1
Prane Mariel B. Ong,Macario O. Cordel II,Undirected,329,,,1
Shrestha Mohanty,Nathaniel Oco,Undirected,330,,,1
Rodolfo A. Aguirre,Carl Peter Christian C. Caampued,Undirected,331,,,1
Michael Bagui Ples,Ma Luisa D. Enriquez,Undirected,332,,,1
Maria Antonette C. Roque,Alyssa Raphaella G. Lim,Undirected,333,,,1
Red M. Castilla,Kristine Mae R. Carnicer,Undirected,334,,,1
Angel Manica Raquel,Abhishek Rathore,Undirected,335,,,1
Jose Bienvenido Manuel M. Biona,Aristotle T. Ubando,Undirected,336,,,4
Jose Bienvenido M. Biona,Andres Philip Mayol,Undirected,337,,,1
Ruey An Doong,Maria Carla Manzano,Undirected,338,,,1
Jeremias A. Gonzaga,Ivan Henderson V. Gue,Undirected,339,,,1
Maria Angela B. Faustino,Elmer Surat Estacio,Undirected,340,,,2
Ramil P. Mauleon,Manuel Ruiz,Undirected,341,,,1
Maria Theresa Gusad De Leon,Kate Kristian M. Olasiman,Undirected,342,,,1
John Mark G. Payawal,Francis Aldrine A. Uy,Undirected,343,,,2
Lukas A. Mueller,Guilhem SempÃ©rÃ©,Undirected,344,,,1
Karl Joseph Centillo,Catherine Mae PeÃ±a,Undirected,345,,,1
L. P. Reyes,Elmer P. Dadios,Undirected,346,,,1
Maria Theresa Gusad De Leon,Abigail Alejandro Antenor,Undirected,347,,,1
Sonam,Gil Rupert Licu,Undirected,348,,,1
Maria Theresa Cunanan,John Andrew Evangelista,Undirected,349,,,1
Jerome Matthew F. Plameras,Carlos Hortinela,Undirected,350,,,1
Ephraim Jholo T. Cruz,Anne Janyarae E. Arato,Undirected,351,,,1
Mikka Ellah T. Medina,Jessie R. Balbin,Undirected,352,,,1
Wilson M. Tan,Agatha C. Uy,Undirected,353,,,1
Therese Anne M. Rollan,Ericluis TaÃ±ada,Undirected,354,,,2
Vilma C. Pagtalunan,Rio S. Pagtalunan,Undirected,355,,,1
Jayson Piquero,Eloise Reynaldo,Undirected,356,,,1
Mark Lester S. Millan,Lejan Alfred C. Enriquez,Undirected,357,,,1
Yogi Tri Prasetyo,Retno Widyaningrum,Undirected,358,,,1
Star Yanxin Gao,David A. Lyon,Undirected,359,,,1
Rogel L. Quilala,Ariel Sison,Undirected,360,,,1
Therese Anne M. Rollan,Crystal Grace P. Dimalanta,Undirected,361,,,1
Philip Glaser,Paul D. Shaw,Undirected,362,,,1
Ruahden F. Dang-awan,Richard Bryann L. Chua,Undirected,363,,,1
Pocholo James M. Loresco,Hans Christian P. Morales,Undirected,364,,,1
Kurt Irvin M. Rojas,Jester N. Itliong,Undirected,365,,,1
Rona Mae G. Babaran,Jasmine M. Lalanto,Undirected,366,,,1
Pierre Larmande,Jeremy D. Edwards,Undirected,367,,,1
Ricky V. Bustamante,Mirafe R. Prospero,Undirected,368,,,1
Noreen B. Miranda,Maria Rosario D. Rodavia,Undirected,369,,,1
Karl Vincent G. Castillo,Jansen Yna L. Unisa,Undirected,370,,,1
Ricardo H. RamÃ­rez-GonzÃ¡lez,Patrick KÃ¶nig,Undirected,371,,,1
Velorie D. Baquiran,Marene Joecel B. Sembrano,Undirected,372,,,1
Ramon G. Garcia,Paola Jamie V. Uy,Undirected,373,,,1
Maria Theresa Gusad De Leon,Anastacia Alvarez,Undirected,374,,,1
Maria Leonora C. Guico,Carlos Oppus,Undirected,375,,,1
Marc Caesar R. Talampas,Edgar Paolo Violan,Undirected,376,,,1
Neal Peralta,Argel A. Bandala,Undirected,377,,,1
Karlo Felipe D.L. Molato,Gerard Ely U. Faelden,Undirected,378,,,1
Pascal Neveu,Mehmood Ghaffar,Undirected,379,,,1
Jansen Yna L. Unisa,Allen Dominic A. Perez,Undirected,380,,,1
Cesar A. Llorente,B. MacAspac,Undirected,381,,,1
Louis Poblete AlarcÃ³n,Kervin John C Jocson,Undirected,382,,,1
Raven Justin Ladia,Jennifer Dela Cruz,Undirected,383,,,1
Michelle Almendrala,Florinda T. Bacani,Undirected,384,,,1
Sheena Lyn A. Sarimos,Francis C. Penetrante,Undirected,385,,,2
John Carlo R. Gonzales,Art Maco T. Del Rosario,Undirected,386,,,1
Maritess D. Manlongat,Evangeline P. Consigo,Undirected,387,,,1
Reagan Balongcas,Bon Eric Rosete,Undirected,388,,,1
K. Dy,J. Ligan,Undirected,389,,,1
Clariz Thea M Cacatian,Arah Jodelle T Jamandra,Undirected,390,,,1
Ivy Elaine A. Cadalzo,Gay Amabelle Go,Undirected,391,,,2
Karlo Soriano,Cedric Festin,Undirected,392,,,1
Kenneth L. McNally,Chon Kit Kenneth Chan,Undirected,393,,,1
Richard Bryann L. Chua,Marvin Joseph R. OcceÃ±o,Undirected,394,,,1
Rhen Anjerome R. Bedruz,I. C. Valenzuela,Undirected,395,,,2
Paulo Noel G. Paje,Celina T. Hebron,Undirected,396,,,1
Yongsung Kwon,Mayzonee Ligaray,Undirected,397,,,1
Justine Veronica Basco,Elmer P. Dadios,Undirected,398,,,1
